group,learner_seed,n_holdout_episodes,mean_full_objective,episode_sd,se,mean_raw_pnl,loss_rate,mean_quoted_spread,median_quoted_spread,mean_fills,mean_abs_inventory,mean_signed_inventory,mean_terminal_abs_inventory,mean_terminal_signed_inventory,mean_running_penalty,mean_terminal_penalty,mean_adverse_selection_loss,mean_return_on_turnover_pct,selected_checkpoint_timestep,validation_objective,validation_to_holdout_diff,final_log_std_bid,final_log_std_ask,action_saturation_rate
C,0,200,40.73078223594196,58.13908693150776,4.111054262126332,41.10530997911792,0.12,2.3361964479342334,2.35753008243053,53.405,4.279300106613347,-2.8400503159921326,6.385,-4.345,0.3135827431759703,0.060945,13.03959245820761,0.8054193398722329,16000,40.334939950374,-0.39584228556795864,-0.0041812495328485,-0.0099535854533314,0.0
C,1,200,40.7745131292876,36.947558663615645,2.6125869279330396,40.9449797169357,0.085,2.1630394934916435,2.184550462396256,56.89,2.9300828835744777,-0.3584847584284317,3.97,-0.8,0.14654658764810993,0.023920000000000004,16.6186850496845,0.7195495932359931,16000,44.28843130184466,3.5139181725570623,0.0097161522135138,-0.0203349813818931,0.0
C,2,200,41.947800867856095,35.51714398837949,2.5114413362562154,42.14005455991669,0.065,2.4550293889193244,2.486063901843791,48.98,3.1132698437040256,1.1228305274633086,4.2,0.6,0.165763692060591,0.02649,12.27245180136554,0.8614891954694838,16000,48.826253882230674,6.878453014374578,0.0021352847106754,0.0017750406404957,0.0
C,3,200,39.961116488828594,44.774911212059415,3.1660643345072788,40.227282992400575,0.115,2.339784106113703,2.3797016231009467,55.34,3.676008719299669,-2.7572419283315956,4.07,-2.51,0.23884650357197806,0.02732,13.005355625865272,0.750183800766617,16000,38.83013033676729,-1.130986152061304,-0.0213558822870254,-0.0195377599447965,0.0
C,4,200,38.91421463110394,37.38709469292051,2.643666818622768,39.14674183770644,0.12,2.7527222179086976,2.778714415490513,39.895,3.112873892425808,0.4542637761862649,6.675,6.055,0.1718022066024869,0.060725,10.16092638874224,1.0025631620771935,32000,40.87269835535984,1.958483724255899,-0.0199993811547756,0.0042563015595078,0.0
D,0,200,42.140947552258964,42.21192427242366,2.984833789996379,42.36703412948506,0.12,2.0006651336562045,2.027307027389811,66.445,3.4491373959672864,-1.2416715920853616,4.275,0.065,0.19723157722609364,0.028855000000000006,17.923540058718245,0.6499190433433355,96000,48.909311303472215,6.768363751213251,-1.5860264301300049,-1.5829956531524658,0.0
D,1,200,42.33302203124675,42.69499829210082,3.0189922815092554,42.56570814671188,0.12,2.0380094555346755,2.0596096372168295,63.84,3.438277614222553,-0.5860961310003878,4.51,0.43,0.20079611546512294,0.03189,17.742604169731745,0.6795254642946431,144000,47.46163012863012,5.1286080973833705,-1.5573920011520386,-1.6123676300048828,0.0
D,2,200,39.89796140587582,62.59436382547992,4.426089912505478,40.36967469318526,0.155,2.1079424416317916,2.130704505955906,61.19,4.9823390394066225,-4.357490175313455,6.52,-5.6,0.4085032873094358,0.06321,16.507602436348876,0.6821345984975818,96000,47.98940690730507,8.091445501429249,-1.5664689540863037,-1.5503946542739868,0.0
D,3,200,41.523466474431096,45.96425145932315,3.250163389905106,41.7872076023021,0.12,2.055370482041497,2.0846750029104224,62.45,3.69666457023953,-1.8786643751316041,4.66,-1.4,0.22971112787100595,0.03403,17.402849380567872,0.6812693103777346,144000,46.15347689465417,4.630010420223073,-1.5747408866882324,-1.605737566947937,0.0
D,4,200,41.86483827335802,53.18923333865586,3.7610467579877147,42.271913777276126,0.155,2.0497466229836596,2.074465059270142,63.655,4.497587993092444,3.6021441016013345,7.265,6.625,0.3336805039180957,0.073395,17.402649465846494,0.6597644012946685,48000,48.4323265401621,6.567488266804084,-1.561769723892212,-1.559890866279602,0.0
