group,learner_seed,timestep,policy_hash,log_std_bid,log_std_ask,action_std_bid,action_std_ask,n_eval_seeds,det_mean_objective,det_std_objective,det_se_objective,det_mean_raw_pnl,det_loss_rate,det_mean_quoted_spread,det_median_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_terminal_abs_inventory,det_terminal_signed_inventory,det_running_penalty,det_terminal_penalty,det_frac_near_bound,stoch_mean_objective,stoch_std_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_loss_rate,stoch_mean_quoted_spread,stoch_median_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_terminal_abs_inventory,stoch_terminal_signed_inventory,stoch_running_penalty,stoch_terminal_penalty,stoch_frac_near_bound
A,1,200000,5818346694e9fdef7d2f1d0c919018171066d52785bafc2310093e044ec280f5,-0.0705102533102035,-0.1029486432671547,0.931918203830719,0.9021732807159424,50,25.889153368253787,65.53270951210322,9.267724657107271,26.668655629587093,0.28,2.348035736770144,2.3482107007240822,24.08,6.263126322217371,-6.19652207256602,10.48,-10.4,0.6370222613333055,0.14248,0.0,10.05588587657524,111.612307139514,15.78436384844521,11.864877479553286,0.42,2.5927963475106406,2.601417741062188,70.12,10.027676134424116,-9.816294947828789,16.4,-16.4,1.4908716029780424,0.31812,0.5397986890303937
A,2,16000,5f7bf726bf41695cb29506f51690feb0aed03b0c58414fbe401abb534a6dc133,-0.0229496620595455,0.0144664580002427,0.977311670780182,1.0145716667175293,50,33.06467422642207,35.82099702548091,5.065853981116139,33.31193753543502,0.14,3.2067259912214734,3.202434420428688,27.94,3.4145523949048417,2.646253809309743,5.58,4.78,0.2040433090129518,0.04322,0.0,-3.4646771856434992,61.27155101703345,8.665105843592372,-3.0665374739688853,0.48,3.178788853621543,3.194229124201539,82.58,4.514076785598136,1.8761228690405076,6.14,3.7,0.339159711674617,0.05898,0.5673500147214141
A,2,32000,49b26850a2fd01e571c1eec173a59c9316b5adc5c694c1811c309f9c336273e2,-0.0473551265895366,0.0082941055297851,0.9537486433982848,1.008328557014465,50,30.43335346139611,27.046365685976795,3.824933716601068,30.576719657528365,0.14,3.022665443857859,3.0191760336636744,25.56,2.593692914689545,0.3119318596199916,3.72,0.92,0.1204861961322561,0.0228799999999999,0.0,7.446604896556304,42.06348012459447,5.948674407281263,7.723624450474508,0.38,3.0647258466903677,3.0594956208935047,78.92,3.8593693886244513,-1.285468131415331,4.88,-1.68,0.2436995539182059,0.0333199999999999,0.5572165141822287
A,2,48000,82c67fac8dc97d935f788cd0d005816d4ab41676c94df8eb7ad9e851da4f0696,-0.0738438889384269,-0.0367782190442085,0.9288166761398317,0.9638898968696594,50,31.4145394501533,25.83106866606516,3.653064763814004,31.54277225205263,0.08,2.9620537311314417,2.969055479323056,24.62,2.4833517563099523,-0.5018737360805882,3.3,-0.22,0.1095728018993281,0.01866,0.0,11.25060765541064,49.07519959430439,6.940281284243187,11.54327973594265,0.38,3.012677503133385,3.007791593598474,73.98,3.667001893821004,-0.9048800151590602,4.7,-1.14,0.2523720805320104,0.0403,0.5297173444572003
A,2,64000,09ef84b961824c42c5b0ee86fdfbdb4a6dd78a3579ded80cb28812fd27103e67,-0.0648990795016288,-0.0619234107434749,0.9371621012687684,0.9399548172950744,50,31.83194835719219,27.289249176890163,3.8592826292936886,31.999964962147764,0.12,2.814366201160447,2.8277652108640936,23.36,2.8059782867409524,-2.050837284380051,3.76,-2.52,0.1434966049555761,0.02452,0.0,5.1969564711254215,60.10998419237959,8.500835487889557,5.7259515480185685,0.34,2.9391218523096403,2.9278399010380705,75.16,5.009617987475915,-4.270582306251167,6.48,-5.52,0.4597550768931482,0.06924,0.5384806478354018
A,2,80000,767f723a6fa89b2ea889b6dd7cfeaaae131691910677398dd9d16408dcd8d065,-0.0715367943048477,-0.0682575553655624,0.9309620261192322,0.934019923210144,50,31.08177959104002,26.93057899820812,3.808559006182596,31.23687127343287,0.12,2.938023325218885,2.9447242938841214,22.8,2.578197415430318,-0.9985989281673596,3.48,-0.84,0.1305316823928454,0.02456,0.0,5.660571666160055,57.74201934656293,8.165954687871892,5.984532106976476,0.38,2.9915883846865263,2.9949016600500054,72.92,4.019333534069552,-1.8812680125817551,5.12,-1.76,0.2852004408164216,0.03876,0.5286016924688057
A,2,96000,507a6af3b8ae144047f2d206f0db8842e109b3d8495e0afb58c5977674e6f207,-0.0796782299876213,-0.0733292177319526,0.9234133958816528,0.9292948842048644,50,30.45585495706434,39.20601824234002,5.544568272496423,30.7531295592362,0.2,2.8243724545719533,2.8272929643531235,26.94,3.856556475694415,-3.3102638332163314,5.1,-3.98,0.2564146021718554,0.04086,0.0,7.784194348758531,65.98801987958868,9.332115266785973,8.408299658964266,0.34,2.908790722128281,2.91033118851595,76.8,5.6836775966479856,-4.673128996198496,6.72,-5.0,0.5455853102057322,0.07852,0.530556571221958
A,2,112000,6139e4aeafdafd5eac27895bf4c6bedfb41fcd030fe24c11daca49bf3453dcfe,-0.0881061553955078,-0.0895716100931167,0.9156636595726012,0.914322793483734,50,31.591405844608527,49.06619574274488,6.939007947344282,32.06523151068558,0.24,2.616607831062717,2.621939750947999,27.28,4.962068252100033,-4.81270887643598,7.16,-7.0,0.4020256660770587,0.0718,0.0,11.207011718581152,75.04142603836205,10.612460244326911,12.14811486920086,0.46,2.794235276239833,2.802314179789112,76.52,7.203619112404946,-6.943420967590393,10.0,-10.0,0.8040631506197046,0.13704,0.531642506067676
A,2,128000,5beb636c60d786154f6ed2fe5abef2dfc7881ec620afca1d4e3ee30da292ffa3,-0.0815187692642211,-0.0969103649258613,0.9217153787612916,0.9076372981071472,50,35.225412214783695,117.317450927268,16.591193020438244,37.20067925777809,0.32,2.334857144638671,2.3404211680420115,40.78,11.095128196720646,-11.087658941841964,16.66,-16.66,1.6641270429943946,0.3111400000000001,0.0,-8.223951600516806,159.34194155928026,22.534353480799524,-4.8374908149979,0.52,2.5817614573356398,2.591434085631217,92.36,14.761316146361066,-14.738908007398503,21.2,-21.2,2.881620785518905,0.5048400000000001,0.5517553318447765
A,2,144000,e13cb593391716e2eb7367563e1f601556704360544a46416a0524e0c373d9e4,-0.0771844685077667,-0.1001785695552825,0.925719141960144,0.9046757817268372,50,30.10248611587999,178.647805318927,25.26461491702149,34.58893170077304,0.4,2.170191097826032,2.1707563485733936,52.42,16.59999605171357,-16.59252679683489,26.94,-26.94,3.713265584893037,0.77318,0.0,0.704067752069096,177.08823538884857,25.04405842236287,5.8327220097912775,0.52,2.428993857209467,2.4348499898040283,97.44,17.482765976468478,-17.452427374365342,27.76,-27.76,4.253934257722178,0.87472,0.5691579989639317
