architecture,learner_seed,timestep,path,policy_hash,source
hamilton_ppo,1,192000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000192000.zip,db1a7d50f074ccf0c888ea0010a7a3f41e599f7177dac095db196db4ff5a5c15,phase7_reused
hamilton_ppo,1,200000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000200000.zip,cb8e60c53bc0d9f8ed816544fa126fa99cfa0e60c3d1dcab55ffc3c6b5738ba2,phase7_reused
hamilton_ppo,1,300000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000300000.zip,31475a2bda6160619d0eeeeb52cab8b6fb177344bf6df07d9ec4a11059988184,phase7_reused
hamilton_ppo,1,400000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000400000.zip,3a064e8313127342b3f85d0253f47052f50773eaee39e2c819e4fd0a5e06d00a,phase7_reused
hamilton_ppo,1,500000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000500000.zip,6774304fa9174d2014d4b61b2ec5ce813a8c1018cb0fd5ee1d90fc9ea816f534,phase7_reused
hamilton_ppo,1,600000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000600000.zip,a3a972fa9bc30607b3eb9f38156d73ce0e8c130d37ac0c1af2fc6fb61e9eae41,phase7_reused
hamilton_ppo,1,700000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000700000.zip,e6ca933af3bc1068bbe32bb8fbea7b4489e637b476dab285710ad403acd70dee,phase7_reused
hamilton_ppo,1,800000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000800000.zip,1b4a1fdbbff57d7f10ef6c71f318af2f3a5c33bcf3ddaa21be3e47907c0a03b6,phase7_reused
hamilton_ppo,1,900000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t000900000.zip,d9b13639cf3ba5145e4d109dc3cd6b7d2bb91614db4d7acea4c4bc60a73e26cb,phase7_reused
hamilton_ppo,1,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\phase7_groupB_1m_convergence\groupB_seed1\ppo_hamilton_ppo_groupB_seed1_t001000000.zip,72ff9dcdd89b02b61ad2abef8e83d2a835ae076108f61d9516560549d898e5bc,phase7_reused
