evaluation_seed,full_objective,raw_pnl,fills,buy_side_fills,sell_side_fills,total_arrivals,buy_side_arrivals,sell_side_arrivals,fill_to_arrival_ratio,mean_quoted_spread,mean_bid_depth,mean_ask_depth,spread_revenue,spread_revenue_per_fill,adverse_selection_loss,carry_jump_pnl,diffusion_pnl,decomposition_residual,running_penalty,terminal_penalty,mean_abs_inventory,terminal_abs_inventory,mean_signed_inventory,terminal_signed_inventory,max_abs_inventory,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate,episode_duration,n_decision_events,reward_reconciliation_error,path_seed
290010,62.89852791976109,63.03364776343494,61,34,27,278,130,148,0.21942446043165467,2.118149204578544,1.0507504864412098,1.0673987181373341,61.11543917664575,1.0018924455187828,18.625351085498185,20.558963897372454,-0.015404225084929444,-1.4921397450962104e-13,0.08611984367385535,0.049,2.086021505376344,7.0,-1.5842293906810037,-7.0,8.0,-0.31549729282213756,-0.3046519400835277,0.13753456117673732,0.1338865252421154,0.0,1.0,279,2.1316282072803006e-14,290010
290011,95.21000092922434,95.37896137998177,67,31,36,265,133,132,0.2528301886792453,1.883797232222545,0.9562290858090112,0.9275681464135335,57.34465659592253,0.8558903969540677,13.305383774242056,51.290169823546925,0.04951873475465804,-2.8421709430404007e-13,0.14396045075743988,0.025,3.556390977443609,5.0,2.345864661654135,5.0,7.0,-0.37707247689663276,-0.39574340863506235,0.15837167827498483,0.16913306402808467,0.0,1.0,266,5.684341886080802e-14,290011
290012,129.21384869563656,129.4938200570226,56,29,27,280,133,147,0.2,2.1216554290640213,1.0182449785951904,1.103410450468831,54.33260972737399,0.970225173703107,15.412665559249163,90.52879415809439,0.04508173080316793,2.2737367544323206e-13,0.2759713613860421,0.004,4.419928825622776,2.0,-4.419928825622776,-2.0,9.0,-0.33667273685562094,-0.2811923951305076,0.13475523396023298,0.13658418311019419,0.0,1.0,281,2.842170943040401e-14,290012
290013,54.72515199519266,54.821798151009034,70,32,38,263,127,136,0.2661596958174905,1.8827558843875938,0.9288037964754569,0.953952087912137,57.46859760166244,0.8209799657380348,12.707934206924579,10.085378806097847,-0.02424404982658916,-8.526512829121202e-14,0.060646155816373795,0.036000000000000004,2.018939393939394,6.0,-0.7310606060606061,6.0,6.0,-0.3949384546298775,-0.3785558083295099,0.15459294248533023,0.17013763504541313,0.0,1.0,264,0.0,290013
290014,-43.13392685999155,-42.766944728266,90,45,45,267,141,126,0.33707865168539325,1.712135302683671,0.8098638847609368,0.9022714179227342,71.12943213942776,0.7903270237714196,10.630647486514146,-103.17220615783692,-0.09352322334229539,-3.907985046680551e-13,0.3669821317255474,0.0,5.201492537313433,0.0,-3.8955223880597014,0.0,11.0,-0.47242087563339086,-0.41222275302570016,0.139449601598814,0.17929256082420192,0.0,1.0,268,2.1316282072803006e-14,290014
290015,79.69723624794614,79.89834447801123,63,32,31,291,143,148,0.21649484536082475,2.1712239321573827,1.1213994481917642,1.0498244839656183,64.4908150607884,1.0236637311236254,24.71256069427685,40.12954245538991,-0.009452343889695503,-5.542233338928781e-13,0.2001082300650886,0.001,4.078767123287672,1.0,3.1883561643835616,-1.0,9.0,-0.26947361146144805,-0.31610052947020445,0.13237909076233267,0.11570548169340857,0.0,1.0,292,1.4210854715202004e-14,290015
290016,49.70399630549231,49.76030109889261,52,26,26,273,144,129,0.19047619047619047,2.2695901814271355,1.1336407044153525,1.1359494770117833,56.714935681679535,1.0906718400322988,22.109089207901256,15.125193589926532,0.02926103518819564,-3.979039320256561e-13,0.05630479340030348,0.0,1.8430656934306568,0.0,-0.7481751824817519,0.0,5.0,-0.2614991464172456,-0.2599951156193464,0.08584489576772063,0.08493238623105107,0.0,1.0,274,2.1316282072803006e-14,290016
290017,75.78362282457981,76.3665388561559,71,31,40,281,140,141,0.2526690391459075,1.9834443206232526,1.0320574802908782,0.9513868403323746,63.34222927013434,0.8921440742272442,18.12541181130484,31.082106407517358,0.06761498980888496,1.4210854715202004e-13,0.50191603157608,0.081,5.911347517730497,9.0,5.599290780141844,9.0,12.0,-0.32767469695404644,-0.38022691763241884,0.16064577612149206,0.1513896832011325,0.0,1.0,282,0.0,290017
290018,55.35604528314696,55.639913452936696,64,30,34,278,132,146,0.2302158273381295,2.2568836670891743,1.1707305320555128,1.0861531350336617,68.78612661083025,1.0747832282942227,19.59900053198867,6.369106461818759,0.0836809122774773,-1.1297629498585593e-12,0.26786816978973327,0.016,4.903225806451613,4.0,4.903225806451613,4.0,8.0,-0.2373372851989492,-0.29243453042944445,0.0958578705874155,0.08761784213285537,0.0,1.0,279,5.684341886080802e-14,290018
290019,25.38335469232614,25.401003221330583,49,24,25,302,161,141,0.16225165562913907,2.3286395694616204,1.1580002645401632,1.1706393049214574,56.67657975655531,1.1566648929909247,25.038371271035594,-6.235119812418316,-0.002085451770944101,1.2434497875801753e-13,0.016648529004441994,0.001,1.0,1.0,-0.48514851485148514,1.0,3.0,-0.24563031260155183,-0.23739671436032828,0.03811531408602153,0.0374086543460039,0.0,1.0,303,1.0658141036401503e-14,290019
290020,-7.193382475308317,-6.927869108970299,54,24,30,289,138,151,0.18685121107266436,2.1494282711669594,1.1153269158714842,1.034101355295475,53.75446742045339,0.9954531003787664,13.303307023841661,-47.43483528486877,0.05580577928675439,-1.1546319456101628e-14,0.2295133663380181,0.036000000000000004,4.613793103448276,6.0,4.613793103448276,6.0,7.0,-0.2734295123782631,-0.3263432314997515,0.13389701245000576,0.12465560625299624,0.0,1.0,290,9.769962616701378e-15,290020
290021,-59.74832570258916,-59.65561213245968,50,23,27,297,143,154,0.16835016835016836,2.2771060489770316,1.1414591953265627,1.1356468536504691,55.37199590979766,1.1074399181959533,24.46908655048232,-90.55475254324892,-0.0037689485261574425,5.684341886080802e-14,0.07671357012948762,0.016,2.3221476510067114,4.0,1.1006711409395973,4.0,6.0,-0.25640585522792186,-0.2601922571032179,0.07697477569590866,0.08283535733198949,0.0,1.0,298,1.4210854715202004e-14,290021
290022,94.20071222425638,94.39128330547607,74,37,37,297,165,132,0.24915824915824916,1.8685562963125963,0.9703308360513814,0.8982254602612149,59.073979326917694,0.7982970179313202,8.243967806687136,43.634336692700245,-0.07306490745461758,-1.1368683772161603e-13,0.19057108121969155,0.0,3.902684563758389,0.0,3.902684563758389,0.0,9.0,-0.36788600842347435,-0.41485845865531873,0.15827248204332567,0.16565661568260542,0.0,1.0,298,2.842170943040401e-14,290022
290023,44.69418194653036,44.79076828347581,86,45,41,279,144,135,0.30824372759856633,1.9432689194861439,0.9624832623211648,0.9807856571649793,77.54923545744762,0.9017352960168328,19.617502768389507,-13.128531268707084,-0.012433136875952619,7.389644451905042e-13,0.08058633694545735,0.016,2.0964285714285715,4.0,-1.5321428571428573,-4.0,7.0,-0.37299824537451765,-0.3610753017450923,0.1602462769959216,0.15954139040106416,0.0,1.0,280,2.842170943040401e-14,290023
290024,59.509831961360426,59.54949852647199,69,34,35,268,135,133,0.2574626865671642,1.8329639269107427,0.9248796183055527,0.9080843086051898,59.00527309092538,0.8551488853757301,12.930357106953538,13.44197810030942,0.032604442190868256,-1.3500311979441904e-13,0.038666565111572,0.001,1.657992565055762,1.0,0.6171003717472119,1.0,5.0,-0.39749482801766867,-0.4084359935047544,0.16492814409537856,0.16088780599887564,0.0,1.0,269,7.105427357601002e-15,290024
290025,129.40980624624493,129.5883674614019,49,26,23,310,147,163,0.15806451612903225,2.2464079647417967,1.0890714604548526,1.1573365042869441,53.78799164800133,1.0977141152653334,17.675000334625967,93.51391009964547,-0.03853395161887562,-5.684341886080802e-14,0.16956121515698006,0.009000000000000001,3.787781350482315,3.0,-3.742765273311897,-3.0,7.0,-0.2905334114892137,-0.2460627137244714,0.095376068364056,0.09815749420554415,0.0,1.0,311,0.0,290025
