source,policy,learner_seed,checkpoint_transition,n_paths,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate_deterministic,stochastic_action_std_bid,stochastic_action_std_ask,near_bound_rate_stochastic,stochastic_full_objective
validation,hamilton_ppo,2.0,600000.0,50,-0.0130757052116153,-0.2265660469888079,0.0609891717410467,0.0844573172367218,0.0,0.1589215161898713,0.1817273808469674,0.0,25.263678484901348
validation,hamilton_ppo,2.0,700000.0,50,-0.0809447850788538,-0.2645093714864398,0.0748265424219924,0.0948730897715453,0.0,0.1670358446891283,0.1839636201923521,0.0,28.942192059258
validation,hamilton_ppo,2.0,800000.0,50,-0.18490207258497,-0.2840447472536945,0.1328350742384194,0.1103733338598069,0.0,0.1978852526098645,0.1807182798250347,0.0002081565905393,27.867174171409747
validation,hamilton_ppo,2.0,900000.0,50,-0.2181782734730388,-0.2515466894384425,0.0950677433262131,0.1309161849625895,0.0,0.1696976366630619,0.191352255021421,7.168458781362e-05,35.638479584604625
validation,hamilton_ppo,2.0,1000000.0,50,-0.2856198954691052,-0.237257437889316,0.1027475448776636,0.129305574298712,0.0,0.1697752955157271,0.183180991912638,7.662835249042e-05,29.605995734977604
validation,hamilton_ppo,3.0,16000.0,50,-0.0040514558351339,-0.0104652233325455,0.0098987709356345,0.0157064671592196,0.0,0.2229994920778761,0.2202537586007769,6.920415224913399e-05,27.91273694270192
validation,hamilton_ppo,3.0,32000.0,50,-0.0050069752699948,-0.002710634883197,0.0061787269408707,0.0075401542659847,0.0,0.2147619274612544,0.2183440646475699,0.0,40.20321004619663
validation,hamilton_ppo,3.0,48000.0,50,-0.0440408744346386,-0.0237606295210524,0.01249270520008,0.0187389795471435,0.0,0.2094389742483613,0.2189772980557185,0.0,32.36944809540933
validation,hamilton_ppo,3.0,64000.0,50,-0.0395275414760381,-0.0267878117320328,0.022238427978773,0.0133932895679189,0.0,0.2079469573013009,0.2149858956337812,0.0,29.948691272686943
validation,hamilton_ppo,3.0,80000.0,50,-0.0445960330392514,-0.0316902719089351,0.0161657488161313,0.0118917179553952,0.0,0.2052214140395668,0.218202697061145,0.0,31.77579124834915
validation,hamilton_ppo,3.0,96000.0,50,-0.0457810209804891,-0.020578337581036,0.0295964514651966,0.0082652760589176,0.0,0.2033337778087216,0.215614856567248,0.0,31.74152873084115
validation,hamilton_ppo,3.0,112000.0,50,-0.0303713230738704,-0.0419277308217837,0.0393745413995241,0.0195681735971737,0.0,0.198800295084749,0.215947767653011,0.0,34.80291295995326
validation,hamilton_ppo,3.0,128000.0,50,-0.027022720395524,-0.0466688786752929,0.0321557563550528,0.0146005187123852,0.0,0.1993236879931351,0.2158716221659641,0.0,34.069766338162246
validation,hamilton_ppo,3.0,144000.0,50,-0.0407139046652174,-0.0514388842137706,0.0231013025773028,0.0240927590073621,0.0,0.1929443394855379,0.2139970708942989,7.168458781362e-05,33.71569970589439
validation,hamilton_ppo,3.0,160000.0,50,-0.0375340452412013,-0.0599198581244735,0.0225033568754552,0.023524365736559,0.0,0.1860381166266447,0.210314256369147,0.0,28.16777055745824
validation,hamilton_ppo,3.0,176000.0,50,-0.0311560580238299,-0.0753200839281015,0.0286979727746951,0.0301951410060383,0.0,0.1885583563772071,0.2079554565387556,0.0,29.019953569906207
validation,hamilton_ppo,3.0,192000.0,50,-0.0323783451494747,-0.0775659900124628,0.0525287295533286,0.0235680291971163,0.0,0.1925129877321399,0.2046706017222169,0.0,32.43889605592497
validation,hamilton_ppo,3.0,200000.0,50,-0.0547597752679587,-0.0817218770932699,0.0410920674528858,0.0253854134886732,0.0,0.1902469556885214,0.2015056578428419,0.0,31.055853441442174
