penalty_calibration,policy,learner_seed,n_paths,mean_time_avg_signed_inventory,mean_time_avg_abs_inventory,mean_integrated_squared_inventory,mean_rms_inventory,mean_max_abs_inventory,mean_terminal_inventory,mean_abs_terminal_inventory,mean_squared_terminal_inventory,mean_n_inventory_boundary_contacts,mean_total_bid_fills,mean_total_ask_fills,mean_total_fills,mean_terminal_mtm_wealth_pre_penalty,mean_running_penalty_contribution,mean_terminal_penalty_contribution,mean_final_realised_objective,mean_mean_signed_inventory_event_weighted,mean_mean_abs_inventory_event_weighted,mean_fills,mean_raw_pnl,mean_full_objective,mean_running_penalty,mean_terminal_penalty,sd_final_realised_objective,se_final_realised_objective
high_penalty,return_mlp_ppo,2.0,500,4.537134418240565,5.2490323072635094,48.75432071778663,6.107492008337927,10.678,8.044,9.0,112.228,0.0,21.354,13.31,34.664,38.24730974381221,4.875432071778663,1.1222800000000002,32.24959767203355,4.569588146710859,5.280498165511493,34.664,38.24730974381221,32.24959767203355,4.875432071778663,1.1222800000000002,70.30476501581964,3.1441246743504356
high_penalty,return_mlp_ppo,3.0,500,4.240877766319564,5.029100407100053,41.287071548505885,5.665559559287483,8.988,6.352,7.552,78.236,0.0,16.996,10.644,27.64,34.85240774100892,4.128707154850589,0.7823600000000002,29.941340586158322,4.264356075463512,5.059415306209239,27.64,34.85240774100892,29.941340586158322,4.128707154850589,0.7823600000000002,64.31048279545777,2.8760522239294857
high_penalty,return_mlp_ppo,4.0,500,-5.635693957220547,6.248974212984778,63.86708151631066,6.976625619429444,11.12,-7.26,8.24,100.544,0.0,19.412,26.672,46.084,45.204808123342836,6.386708151631066,1.00544,37.812659971711774,-5.639429471700399,6.263520020488589,46.084,45.204808123342836,37.812659971711774,6.386708151631066,1.00544,83.09905425432069,3.716302683572083
original,belief_weighted,,500,0.1396722636365706,3.14699571628185,17.425830029856158,3.7836612490800055,7.844,0.156,4.592,32.972,0.0,31.918,31.762,63.68,46.38181529940014,0.17425830029856154,0.032972,46.17458499910157,0.1450746483082197,3.169743376011877,63.68,46.38181529940014,46.17458499910157,0.17425830029856154,0.032972,37.97503144001718,1.698295034951403
original,frozen_clone,,500,0.11788755291921242,3.1441320588618527,17.39047219497939,3.7773266739052462,7.826,0.124,4.584,32.832,0.0,31.888,31.764,63.652,46.52048606599882,0.1739047219497939,0.03283200000000001,46.31374934404902,0.12347711965425781,3.16650564225838,63.652,46.52048606599882,46.31374934404902,0.1739047219497939,0.03283200000000001,37.74040851257046,1.6878023786543854
original,hamilton_ppo,0.0,500,2.0724940383582724,4.159038721417443,31.25999875467291,4.941594114827594,9.362,4.2,7.344,77.92,0.0,22.852,18.652,41.504,42.57882275423564,0.312599987546729,0.07792000000000002,42.18830276668891,2.090009716799986,4.187157898049688,41.504,42.57882275423564,42.18830276668891,0.312599987546729,0.07792000000000002,53.71321288190375,2.4021279058770832
original,hamilton_ppo,1.0,500,2.028656238057516,4.824400298034664,42.82930709407895,5.66917259810727,10.328,2.63,8.526,105.266,0.0,20.846,18.216,39.062,44.34094863489911,0.4282930709407895,0.10526599999999998,43.807389563958324,2.031902260614933,4.856682793466482,39.062,44.34094863489911,43.807389563958324,0.4282930709407895,0.10526599999999998,62.485684796208574,2.794444776498949
original,hamilton_ppo,2.0,500,1.852076697580594,5.250932940121097,54.23812826435447,6.3604564821786065,12.614,3.27,10.698,166.45,0.0,28.254,24.984,53.238,43.154401814151434,0.5423812826435447,0.16645,42.44557053150789,1.8561149089668296,5.300821727699027,53.238,43.154401814151434,42.44557053150789,0.5423812826435447,0.16645,71.11165574719395,3.1802099248657854
original,hamilton_ppo,3.0,500,-0.01734964195052129,4.311529669709034,35.64947129905307,5.169565287961288,9.938,0.212,8.44,102.108,0.0,18.114,17.902,36.016,41.17912503173538,0.35649471299053054,0.102108,40.720522318744855,-0.021179581245299686,4.347842916400423,36.016,41.17912503173538,40.720522318744855,0.35649471299053054,0.102108,59.924337161026195,2.6798978279734267
original,hamilton_ppo,4.0,500,-0.6371866259403836,5.306717817601458,53.14336022435861,6.341047592643281,11.986,-2.302,10.47,153.402,0.0,20.934,23.236,44.17,44.55584467979708,0.531433602243586,0.15340199999999998,43.871009077553495,-0.6546439316578615,5.3526446487629755,44.17,44.55584467979708,43.871009077553495,0.531433602243586,0.15340199999999998,71.35292581037353,3.1909998501098897
