agent_type,training_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective
oracle,,130044,43.721501207036226,43.645501207036226,59.3735859461486,12.1044920995454,0.06700000000000278,0.009000000000000001,2.098,6.0,-0.436,3.0,3.0,65.0,-0.3495353697108238,-0.3348964184960963,0.14708356694139274,0.16112545510001308,2.0194718355277193,4000,7.958078640513122e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6726384801082497,False,False,6500.0,analytic,,,
oracle,,130045,57.23241321746673,56.75964321746673,62.537008863552025,21.926042011179153,0.42376999999999937,0.049,5.991,10.0,-5.991,-7.0,7.0,61.0,-0.302348867060121,-0.23562586177090003,0.09984010849134159,0.09761853794230799,2.2442917299828453,4000,2.0534685063466895e-12,exogenous_paired_fills_not_claimed_paired,,,,0.9382362822535529,False,False,6100.0,analytic,,,
oracle,,130046,52.12790092088039,52.03878592088039,65.23364242248454,30.507679248547152,0.07311500000000301,0.016,2.2785,5.0,2.041,4.0,4.0,58.0,-0.23363119491379347,-0.2606388959667609,0.06018757002023273,0.05727798954668379,2.3113808285424766,4000,1.1013412404281553e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8987569124289724,False,False,5800.0,analytic,,,
oracle,,130047,63.03414228150962,62.62979478150961,55.3001370015027,13.223142296193183,0.3553475000000044,0.049,5.54875,10.0,5.53975,7.0,7.0,63.0,-0.3596609491110032,-0.42016334517274645,0.17184336183436474,0.15587688191206858,1.873038927210485,4000,1.4779288903810084e-12,exogenous_paired_fills_not_claimed_paired,,,,1.0005419409763432,False,False,6300.0,analytic,,,
oracle,,130048,-9.872302678158235,-10.063330178158235,54.196649921557444,13.68226592595069,0.16602750000000097,0.025,3.20225,9.0,-2.91575,-5.0,5.0,57.0,-0.3342814149566682,-0.30966826647753204,0.1477716013039998,0.14041636690186518,2.0816141659196252,4000,9.166001291305292e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.17319829259926728,True,True,5700.0,analytic,,,
oracle,,130049,36.98851428941009,36.83565178941009,68.95368097716928,19.755681749358057,0.11686249999999641,0.036000000000000004,3.03625,7.0,-0.27775,6.0,6.0,68.0,-0.32211435863032967,-0.3068192592505837,0.1378641896340671,0.142550172049023,2.1046646753151244,4000,1.3571366253017914e-12,exogenous_paired_fills_not_claimed_paired,,,,0.5439487395501483,False,False,6800.0,analytic,,,
oracle,,130050,41.10499130850792,41.06617380850792,62.01686537451228,20.281248911206575,0.03481749999999979,0.004,1.51775,4.0,1.31775,2.0,2.0,60.0,-0.2955553724465101,-0.3090645795377662,0.1303945903336487,0.13085948586476712,2.1419875317482138,4000,7.460698725481052e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6850831884751319,False,False,6000.0,analytic,,,
oracle,,130051,59.670698416108735,59.32136091610873,68.1179916445682,20.555415359017378,0.2853375000000013,0.064,4.69775,9.0,-4.69775,-8.0,8.0,68.0,-0.33907955494713565,-0.2898694631270032,0.14454892762643798,0.1348023402575813,2.1046410351448914,4000,3.694822225952521e-13,exogenous_paired_fills_not_claimed_paired,,,,0.8775102708251283,False,False,6800.0,analytic,,,
oracle,,130052,58.19038144959745,58.03248644959746,71.315480629229,13.914704789273118,0.09389499999999892,0.064,2.3015,9.0,1.8525,8.0,8.0,82.0,-0.3792584366742865,-0.3953582236536838,0.16749082567295204,0.1586988323937277,1.8810329407547164,4000,5.329070518200751e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7096387981658226,False,False,8200.0,analytic,,,
oracle,,130053,113.36845975128506,112.80304225128506,62.01763470977482,13.848873933796476,0.5404174999999957,0.025,6.52875,14.0,-6.41075,-5.0,5.0,73.0,-0.4310357474713513,-0.3633906193965813,0.16290576008586977,0.16554200292148724,1.8506239174377137,4000,2.7569058147491887e-12,exogenous_paired_fills_not_claimed_paired,,,,1.552992599332672,False,False,7300.0,analytic,,,
oracle,,130054,80.36423590110934,80.23681090110934,60.20789654533271,19.347103882312688,0.11142499999999678,0.016,2.853,6.0,-2.625,-4.0,4.0,64.0,-0.39467197666356774,-0.3665022809532766,0.1648494242473573,0.16090914255211428,1.901667791485824,4000,6.252776074688882e-13,exogenous_paired_fills_not_claimed_paired,,,,1.2556911859548334,False,False,6400.0,analytic,,,
oracle,,130055,65.7673982366548,65.67956823665479,61.40467004056212,11.147675969486395,0.06283000000000252,0.025,1.97,8.0,0.101,-5.0,5.0,71.0,-0.3578032818616542,-0.3613650736241879,0.1538680476376167,0.1629073690617555,1.9661492341955658,4000,1.4495071809506044e-12,exogenous_paired_fills_not_claimed_paired,,,,0.9263013836148564,False,False,7100.0,analytic,,,
oracle,,130056,73.59716349437497,73.52532599437497,68.87709276580843,34.13735978391399,0.06283750000000496,0.009000000000000001,1.87875,6.0,-1.14175,-3.0,3.0,59.0,-0.24727792398930024,-0.22858412249093893,0.024254349594784123,0.024191334153139545,2.3396382209607016,4000,1.1510792319313623e-12,exogenous_paired_fills_not_claimed_paired,,,,1.2474095507521181,False,False,5900.0,analytic,,,
oracle,,130057,100.98211487548838,100.76042987548837,59.502131377106124,19.47856382501349,0.19668499999999942,0.025,4.0495,7.0,3.9125,5.0,5.0,53.0,-0.2416108329510264,-0.2831694700394245,0.08782040850726303,0.08926071943308878,2.2645459221502535,4000,1.1510792319313623e-12,exogenous_paired_fills_not_claimed_paired,,,,1.9053229221790262,False,False,5300.0,analytic,,,
oracle,,130058,44.7335313733069,44.42550137330691,65.41912541693634,20.825353686796863,0.2990299999999964,0.009000000000000001,4.7035,10.0,4.57,3.0,3.0,67.0,-0.29784534874574015,-0.34521727451138556,0.14758956264281758,0.14033666723437588,2.082975850543058,4000,3.268496584496461e-13,exogenous_paired_fills_not_claimed_paired,,,,0.6676646473627896,False,False,6700.0,analytic,,,
oracle,,130059,80.69652127892914,80.46422627892913,47.87342626009801,21.617696061674074,0.18329499999999865,0.049,2.844,11.0,2.682,7.0,7.0,43.0,-0.23839471894410416,-0.2576664089130343,0.058501466078613576,0.062276986264540826,2.3086314851802876,4000,8.952838470577262e-13,exogenous_paired_fills_not_claimed_paired,,,,1.8766632855564915,False,False,4300.0,analytic,,,
oracle,,130060,6.941205677171524,6.638673177171533,55.704563268562545,8.84194922816639,0.23853249999999124,0.064,4.26525,10.0,-4.26525,-8.0,8.0,66.0,-0.4238941204761976,-0.38170329205039694,0.15995748436333435,0.16614483278396924,1.8334757286331864,4000,3.161915174132446e-13,exogenous_paired_fills_not_claimed_paired,,,,0.10516978298744732,False,False,6600.0,analytic,,,
oracle,,130061,60.204972093854394,60.0569670938544,52.29993637107568,7.966383031463587,0.0840049999999996,0.064,1.781,10.0,-1.1445,-8.0,8.0,70.0,-0.4356379598294757,-0.42927252416227746,0.15966096695854382,0.16013983101916052,1.7424267991829434,4000,1.4139800441625994e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8600710299122056,False,False,7000.0,analytic,,,
