agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count,environment_type
oracle,,,170010,36.413328078038546,36.39696366141048,43.673704804879584,19.83556864393275,0.007364416628063499,0.009000000000000001,0.5669014084507042,3.0,-0.07394366197183098,-3.0,3.0,65.0,-0.3181392589256639,-0.32606421462745616,0.31808157819771105,0.2781122314748075,2.0812245806197947,284,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5602050473544392,False,False,6500.0,analytic,,,,,,,,event
oracle,,,170011,41.44445181402767,41.43997947211922,53.206181612177964,21.682269676095967,0.004472341908450344,0.0,0.4074074074074074,2.0,0.08888888888888889,0.0,0.0,86.0,-0.3379452315255464,-0.4011120723504896,0.3075892801688258,0.28230259922505346,1.935618570143173,270,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.48191223039567066,False,False,8600.0,analytic,,,,,,,,event
oracle,,,170012,40.361198174671316,40.353125079795845,53.459606206677144,16.32498710535789,0.007073094875471892,0.001,0.5977443609022557,3.0,-0.07894736842105263,-1.0,1.0,89.0,-0.4198240002189446,-0.3659032316036156,0.30091384448122643,0.3504192965914549,1.8639775832226562,266,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.4534966087041721,False,False,8900.0,analytic,,,,,,,,event
oracle,,,170013,35.77127880269782,35.75365037467305,48.48339252178111,15.114084988735005,0.008628428024772945,0.009000000000000001,0.6343283582089553,3.0,-0.16417910447761194,-3.0,3.0,79.0,-0.43143947115357045,-0.33241878757104215,0.29044723660236,0.3675193745354748,1.8975476975256063,268,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.45280099750250413,False,False,7900.0,analytic,,,,,,,,event
oracle,,,170014,10.229608311972328,10.22263255181108,43.11730338327642,24.946570207092673,0.006975760161247826,0.0,0.6078431372549019,2.0,0.13725490196078433,0.0,0.0,60.0,-0.2581562380979153,-0.3365802564693097,0.3536299438176654,0.3273758853478396,2.15715919955871,255,5.329070518200751e-15,exogenous_paired_fills_not_claimed_paired,,,,0.17049347186620545,False,False,6000.0,analytic,,,,,,,,event
oracle,,,170015,25.776198863391443,25.766724899842842,49.90699952025314,13.037066024115939,0.009473963548602308,0.0,0.674074074074074,3.0,0.362962962962963,0.0,0.0,82.0,-0.32806565119566905,-0.4603747508105628,0.30780366048692503,0.32338553972936507,1.8598127130762068,270,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.31434388857794443,False,False,8200.0,analytic,,,,,,,,event
oracle,,,170016,17.5531914269159,17.542761793229708,55.57888885788044,32.43249571947307,0.009429633686193336,0.001,0.5508771929824562,2.0,-0.010526315789473684,1.0,1.0,73.0,-0.32758243696080946,-0.26760178599306284,0.3150280126140528,0.2875676631279783,2.1564719110861734,285,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.24045467708103974,False,False,7300.0,analytic,,,,,,,,event
oracle,,,170017,25.62740374639695,25.616072371371406,56.473939340775324,25.38212953002371,0.010331375025543259,0.001,0.6433566433566433,3.0,0.04195804195804196,-1.0,1.0,83.0,-0.32664575020938913,-0.3573743820085792,0.3105166872234506,0.31767733180957725,2.020103750823454,286,1.0658141036401503e-14,exogenous_paired_fills_not_claimed_paired,,,,0.3087639005589994,False,False,8300.0,analytic,,,,,,,,event
oracle,,,170018,31.46402888711974,31.45285568080881,56.97563548212634,32.83723317572048,0.011173206310929617,0.0,0.657258064516129,3.0,0.14919354838709678,0.0,0.0,70.0,-0.27808286257375736,-0.31175749512588125,0.2840509567876401,0.3274566976832752,2.164675047401751,248,1.7763568394002505e-14,exogenous_paired_fills_not_claimed_paired,,,,0.44948612695885337,False,False,7000.0,analytic,,,,,,,,event
oracle,,,170019,22.188599393373636,22.179707028822012,50.214852704947425,19.287326066058142,0.007892364551623518,0.001,0.562015503875969,2.0,-0.1744186046511628,-1.0,1.0,63.0,-0.3487371880468309,-0.23644578558299423,0.2611460630530489,0.3260512758392361,2.1718243961560866,258,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.3521999903710101,False,False,6300.0,analytic,,,,,,,,event
oracle,,,170020,30.60758206353661,30.60105906389348,59.70571264481945,19.704990022132016,0.006522999643132227,0.0,0.4809688581314879,2.0,0.09342560553633218,0.0,0.0,98.0,-0.3327004475858343,-0.3918807795201946,0.3237167476684975,0.2878602124483602,1.95784016919361,289,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.3123222659544552,False,False,9800.0,analytic,,,,,,,,event
oracle,,,170021,14.737462061852256,14.728385936450758,40.36327263067558,28.94076779507638,0.0050761254014984065,0.004,0.4765625,2.0,0.25,2.0,2.0,48.0,-0.167972771359566,-0.3287676683924601,0.2561879749195004,0.2424656554983527,2.3075887028851803,256,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.307030459621922,False,False,4800.0,analytic,,,,,,,,event
oracle,,,170022,37.56543609825255,37.55458537364496,55.80238964636053,21.656094991681012,0.010850724607583852,0.0,0.6747404844290658,4.0,0.0657439446366782,0.0,0.0,82.0,-0.3478222718062781,-0.3437109237669786,0.3015552604683908,0.3601229082919085,2.008570772367049,289,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.4581150743689335,False,False,8200.0,analytic,,,,,,,,event
oracle,,,170023,46.407796412827125,46.40255752543003,48.765510482156294,12.33446589525099,0.004238887397093541,0.001,0.4142857142857143,3.0,-0.1,1.0,1.0,93.0,-0.4621426078900244,-0.3980285856777781,0.28313619715939325,0.2940267441137393,1.749701878837314,280,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.49900856357878626,False,False,9300.0,analytic,,,,,,,,event
oracle,,,170024,48.618907473767806,48.61024130799354,56.41271181389586,23.47557840550085,0.007666165774269593,0.001,0.519298245614035,2.0,0.11228070175438597,1.0,1.0,71.0,-0.2408328454405592,-0.3432478051654403,0.27909178724194283,0.2774952283644238,2.173516524530969,285,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.684773344700955,False,False,7100.0,analytic,,,,,,,,event
oracle,,,170025,39.080241145919544,39.07171167695022,60.772454204461845,34.361607731281424,0.008529468969321139,0.0,0.6366782006920415,3.0,0.2422145328719723,0.0,0.0,78.0,-0.22555775419096147,-0.37105802047307135,0.328097852989287,0.2881819992904891,2.1542743980010624,289,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.5010287326399941,False,False,7800.0,analytic,,,,,,,,event
oracle,,,170026,38.955928046633204,38.94965859522795,65.23435052668512,37.06537498643362,0.0062694514052492835,0.0,0.523972602739726,2.0,0.3321917808219178,0.0,0.0,76.0,-0.15031041098389752,-0.36384579257901956,0.2619368562088924,0.2622159070206743,2.28085451746247,292,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5125780006135947,False,False,7600.0,analytic,,,,,,,,event
oracle,,,170027,24.136891909835143,24.127446169491698,58.19533591782493,29.62765667410906,0.008445740343443654,0.001,0.654485049833887,3.0,0.34219269102990035,1.0,1.0,69.0,-0.21844653184930793,-0.3251985708077036,0.274007058336418,0.29369642775497207,2.2355873844872267,301,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.3498100276787702,False,False,6900.0,analytic,,,,,,,,event
oracle,,,170028,30.711529502510984,30.703364304412272,64.92313278439718,34.82701486057943,0.004165198098711452,0.004,0.3939393939393939,2.0,-0.037037037037037035,2.0,2.0,74.0,-0.26080513442867365,-0.2171744828937287,0.2495468382335356,0.24937283881531766,2.3363876295910204,297,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.41502066895285117,False,False,7400.0,analytic,,,,,,,,event
oracle,,,170029,32.36247353411811,32.352576909845446,54.979089661890086,23.657611032502068,0.008896624272663897,0.001,0.6942446043165468,3.0,-0.01079136690647482,1.0,1.0,93.0,-0.36628235953903177,-0.3971813268518607,0.35661051731348825,0.3196205636793561,1.8981533884414268,278,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.3479835863883668,False,False,9300.0,analytic,,,,,,,,event
belief_weighted,,,170000,46.59493818068515,46.58688006716596,59.62197765118264,22.9670638909523,0.007058113519189806,0.001,0.5888157894736842,2.0,-0.14144736842105263,1.0,1.0,87.0,-0.42536585568730156,-0.28616659822981766,0.33043995102272816,0.2808468215306623,1.9778707762780399,304,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5355740020768408,False,False,8700.0,analytic,,,,,,,,event
