training_seed,q,tau,b,q_scaled,bid_action,ask_action,bid_depth,ask_depth
0,-20,0.5,0.4,-0.9640275800758169,-0.2580353319644928,-0.8191351294517517,1.1389578560978897,0.2776378365137962
0,-20,0.5,0.5,-0.9640275800758169,-0.2663775384426117,-0.7670555710792542,1.1261520959117597,0.3575829130192803
0,-20,0.5,0.6,-0.9640275800758169,-0.27439525723457336,-0.7139283418655396,1.1138444427316336,0.4391362236989983
0,-20,0.5,0.7,-0.9640275800758169,-0.2820521593093872,-0.6599589586257935,1.1020906636809793,0.5219822885829463
0,-20,0.5,0.8,-0.9640275800758169,-0.2893182933330536,-0.6053571701049805,1.0909367357565851,0.6057991314488379
0,-20,0.5,0.9,-0.9640275800758169,-0.2961699664592743,-0.550334632396698,1.0804190288215827,0.6902618481860339
0,-20,0.5,1.0,-0.9640275800758169,-0.3025889992713928,-0.49510127305984497,1.0705654493118335,0.7750481880827147
0,-20,0.25,0.0,-0.9640275800758169,-0.18916431069374084,-0.9214098453521729,1.2446787807094293,0.120640345698789
0,-20,0.25,0.1,-0.9640275800758169,-0.19829493761062622,-0.8729676604270935,1.2306627504237555,0.1950018476191547
0,-20,0.25,0.2,-0.9640275800758169,-0.20731306076049805,-0.8227853775024414,1.2168194198026359,0.27203449868229707
0,-20,0.25,0.3,-0.9640275800758169,-0.21615886688232422,-0.7710383534431458,1.203240605594881,0.35146911615278936
0,-20,0.25,0.4,-0.9640275800758169,-0.22477760910987854,-0.7179192304611206,1.1900103473458645,0.43300998330700835
0,-20,0.25,0.5,-0.9640275800758169,-0.2331203818321228,-0.6636345386505127,1.1772037179428798,0.5163400647342629
0,-20,0.25,0.6,-0.9640275800758169,-0.24114468693733215,-0.6084010004997253,1.1648859543982857,0.6011266791204768
0,-20,0.25,0.7,-0.9640275800758169,-0.24881446361541748,-0.552442193031311,1.1531124121012506,0.6870266230528065
0,-20,0.25,0.8,-0.9640275800758169,-0.2561000883579254,-0.4959847331047058,1.1419285648177524,0.7736920267963464
