q,tau,b,bid_action,ask_action_mirror,symmetry_error
-5,0.75,0.6,-0.28472861647605896,0.5538439154624939,-0.8385725319385529
-5,0.75,0.7,-0.29189473390579224,0.6030334234237671,-0.8949281573295593
-5,0.75,0.8,-0.2985081970691681,0.6500195860862732,-0.9485277831554413
-5,0.75,0.9,-0.3045543134212494,0.6947687864303589,-0.9993230998516083
-5,0.75,1.0,-0.3100281357765198,0.7372796535491943,-1.0473077893257141
-5,0.5,0.0,-0.19553253054618835,0.36535805463790894,-0.5608905851840973
-5,0.5,0.1,-0.2050950825214386,0.4248879849910736,-0.6299830675125122
-5,0.5,0.2,-0.21443232893943787,0.4828581213951111,-0.697290450334549
-5,0.5,0.3,-0.2234637439250946,0.5390121936798096,-0.7624759376049042
-5,0.5,0.4,-0.23211735486984253,0.593136727809906,-0.8252540826797485
-5,0.5,0.5,-0.24033209681510925,0.6450647115707397,-0.885396808385849
-5,0.5,0.6,-0.24805888533592224,0.6946758031845093,-0.9427346885204315
-5,0.5,0.7,-0.2552609443664551,0.7418947219848633,-0.9971556663513184
-5,0.5,0.8,-0.26191356778144836,0.7866880893707275,-1.048601657152176
-5,0.5,0.9,-0.2680031657218933,0.8290581107139587,-1.097061276435852
-5,0.5,1.0,-0.27352628111839294,0.8690382242202759,-1.1425645053386688
-5,0.25,0.0,-0.15391583740711212,0.5095377564430237,-0.6634535938501358
-5,0.25,0.1,-0.16342997550964355,0.5680627822875977,-0.7314927577972412
-5,0.25,0.2,-0.1727418601512909,0.6246887445449829,-0.7974306046962738
-5,0.25,0.3,-0.18177086114883423,0.6791855692863464,-0.8609564304351807
-5,0.25,0.4,-0.19044530391693115,0.7313715815544128,-0.921816885471344
-5,0.25,0.5,-0.19870442152023315,0.7811145186424255,-0.9798189401626587
-5,0.25,0.6,-0.20649954676628113,0.8283308148384094,-1.0348303616046906
-5,0.25,0.7,-0.21379432082176208,0.8729821443557739,-1.086776465177536
-5,0.25,0.8,-0.22056439518928528,0.9150702953338623,-1.1356346905231476
-5,0.25,0.9,-0.22679653763771057,0.9546311497688293,-1.18142768740654
-5,0.25,1.0,-0.2324874997138977,0.9917281270027161,-1.2242156267166138
-5,0.05,0.0,-0.11766305565834045,0.6199074387550354,-0.7375704944133759
-5,0.05,0.1,-0.12710481882095337,0.6769733428955078,-0.8040781617164612
-5,0.05,0.2,-0.13637462258338928,0.7319344282150269,-0.8683090507984161
-5,0.05,0.3,-0.14539344608783722,0.7845864295959473,-0.9299798756837845
-5,0.05,0.4,-0.15409108996391296,0.8347748517990112,-0.9888659417629242
-5,0.05,0.5,-0.16240793466567993,0.8823955059051514,-1.0448034405708313
-5,0.05,0.6,-0.17029595375061035,0.9273922443389893,-1.0976881980895996
-5,0.05,0.7,-0.17771896719932556,0.9697529077529907,-1.1474718749523163
-5,0.05,0.8,-0.18465229868888855,1.0,-1.1846522986888885
-5,0.05,0.9,-0.19108203053474426,1.0,-1.1910820305347443
-5,0.05,1.0,-0.19700366258621216,1.0,-1.1970036625862122
0,1.0,0.0,-0.23690664768218994,-0.39136627316474915,0.1544596254825592
0,1.0,0.1,-0.24585694074630737,-0.3325030505657196,0.08664610981941223
0,1.0,0.2,-0.25448372960090637,-0.2732677459716797,0.018784016370773315
0,1.0,0.3,-0.26271870732307434,-0.21397051215171814,-0.0487481951713562
0,1.0,0.4,-0.27050188183784485,-0.15491408109664917,-0.11558780074119568
0,1.0,0.5,-0.27778375148773193,-0.09638524055480957,-0.18139851093292236
0,1.0,0.6,-0.2845265567302704,-0.03864777460694313,-0.24587878212332726
0,1.0,0.7,-0.29070475697517395,0.01806281879544258,-0.30876757577061653
0,1.0,0.8,-0.2963046729564667,0.07354281842708588,-0.36984749138355255
0,1.0,0.9,-0.30132365226745605,0.12762144207954407,-0.4289450943470001
0,1.0,1.0,-0.3057687282562256,0.18016107380390167,-0.48592980206012726
0,0.75,0.0,-0.197963684797287,-0.26995423436164856,0.07199054956436157
0,0.75,0.1,-0.20702603459358215,-0.20803484320640564,0.0010088086128234863
0,0.75,0.2,-0.21576368808746338,-0.1459895223379135,-0.06977416574954987
0,0.75,0.3,-0.22410371899604797,-0.08417107164859772,-0.13993264734745026
0,0.75,0.4,-0.23198357224464417,-0.022916827350854874,-0.2090667448937893
0,0.75,0.5,-0.2393530011177063,0.03746085613965988,-0.2768138572573662
0,0.75,0.6,-0.24617522954940796,0.09668222069740295,-0.3428574502468109
0,0.75,0.7,-0.2524271011352539,0.15450486540794373,-0.40693196654319763
0,0.75,0.8,-0.2580984830856323,0.21072663366794586,-0.4688251167535782
0,0.75,0.9,-0.2631908059120178,0.2651855945587158,-0.5283764004707336
0,0.75,1.0,-0.26771536469459534,0.3177590072154999,-0.5854743719100952
0,0.5,0.0,-0.1540091633796692,-0.13637541234493256,-0.017633751034736633
0,0.5,0.1,-0.16317278146743774,-0.07218588888645172,-0.09098689258098602
0,0.5,0.2,-0.17203232645988464,-0.008195504546165466,-0.16383682191371918
0,0.5,0.3,-0.18051138520240784,0.05521208047866821,-0.23572346568107605
0,0.5,0.4,-0.1885451078414917,0.11767837405204773,-0.30622348189353943
0,0.5,0.5,-0.1960824728012085,0.17888009548187256,-0.37496256828308105
0,0.5,0.6,-0.20308709144592285,0.23853643238544464,-0.4416235238313675
0,0.5,0.7,-0.20953699946403503,0.2964129149913788,-0.5059499144554138
0,0.5,0.8,-0.21542373299598694,0.3523227870464325,-0.5677465200424194
0,0.5,0.9,-0.22075065970420837,0.4061257243156433,-0.6268763840198517
0,0.5,1.0,-0.22553080320358276,0.4577248692512512,-0.683255672454834
0,0.25,0.0,-0.10610825568437576,0.005946595221757889,-0.11205485090613365
0,0.25,0.1,-0.11537953466176987,0.07131446152925491,-0.18669399619102478
0,0.25,0.2,-0.12438972294330597,0.13610795140266418,-0.26049767434597015
0,0.25,0.3,-0.13305959105491638,0.1999317854642868,-0.3329913765192032
0,0.25,0.4,-0.14132218062877655,0.26242586970329285,-0.4037480503320694
0,0.25,0.5,-0.1491248607635498,0.3232746422290802,-0.47239950299263
0,0.25,0.6,-0.15643003582954407,0.38221341371536255,-0.5386434495449066
0,0.25,0.7,-0.163214772939682,0.43903064727783203,-0.602245420217514
0,0.25,0.8,-0.16946959495544434,0.49356770515441895,-0.6630373001098633
0,0.25,0.9,-0.1751967966556549,0.5457157492637634,-0.7209125459194183
0,0.25,1.0,-0.1804080605506897,0.5954114198684692,-0.7758194804191589
0,0.05,0.0,-0.066118523478508,0.12276902794837952,-0.1888875514268875
0,0.05,0.1,-0.07548446953296661,0.18816141784191132,-0.26364588737487793
0,0.05,0.2,-0.08463562279939651,0.2526766359806061,-0.3373122587800026
0,0.05,0.3,-0.09349118173122406,0.3159267008304596,-0.40941788256168365
0,0.05,0.4,-0.10198253393173218,0.3775654435157776,-0.47954797744750977
0,0.05,0.5,-0.11005520820617676,0.43729668855667114,-0.5473518967628479
0,0.05,0.6,-0.11766952276229858,0.49487924575805664,-0.6125487685203552
0,0.05,0.7,-0.12480022013187408,0.5501278042793274,-0.6749280244112015
0,0.05,0.8,-0.13143524527549744,0.6029118299484253,-0.7343470752239227
0,0.05,0.9,-0.13757389783859253,0.6531503796577454,-0.7907242774963379
0,0.05,1.0,-0.14322486519813538,0.7008077502250671,-0.8440326154232025
5,1.0,0.0,-0.19007357954978943,-0.8090188503265381,0.6189452707767487
5,1.0,0.1,-0.19813501834869385,-0.7568985819816589,0.5587635636329651
5,1.0,0.2,-0.20589208602905273,-0.7034723162651062,0.49758023023605347
5,1.0,0.3,-0.21329066157341003,-0.6489850878715515,0.4356944262981415
5,1.0,0.4,-0.22028321027755737,-0.5936911702156067,0.3734079599380493
5,1.0,0.5,-0.22683066129684448,-0.5378475189208984,0.31101685762405396
5,1.0,0.6,-0.2329035997390747,-0.4817084074020386,0.24880480766296387
5,1.0,0.7,-0.23848310112953186,-0.42552000284194946,0.1870369017124176
5,1.0,0.8,-0.24356040358543396,-0.36951592564582825,0.1259555220603943
5,1.0,0.9,-0.24813640117645264,-0.3139144480228424,0.06577804684638977
5,1.0,1.0,-0.2522202730178833,-0.2589152157306671,0.0066949427127838135
5,0.75,0.0,-0.14605090022087097,-0.7185876965522766,0.5725367963314056
5,0.75,0.1,-0.15436884760856628,-0.6631951332092285,0.5088262856006622
5,0.75,0.2,-0.16239628195762634,-0.6064964532852173,0.44410017132759094
5,0.75,0.3,-0.17007452249526978,-0.5487765073776245,0.37870198488235474
5,0.75,0.4,-0.17735296487808228,-0.4903300404548645,0.3129770755767822
5,0.75,0.5,-0.1841908097267151,-0.43145373463630676,0.24726292490959167
5,0.75,0.6,-0.19055843353271484,-0.37243908643722534,0.1818806529045105
5,0.75,0.7,-0.19643759727478027,-0.31356602907180786,0.11712843179702759
5,0.75,0.8,-0.20182102918624878,-0.25509750843048096,0.05327647924423218
5,0.75,0.9,-0.20671144127845764,-0.19727560877799988,-0.009435832500457764
5,0.75,1.0,-0.21111992001533508,-0.1403181254863739,-0.07080179452896118
5,0.5,0.0,-0.0990704745054245,-0.6130545139312744,0.5139840394258499
5,0.5,0.1,-0.10768580436706543,-0.5546659827232361,0.44698017835617065
5,0.5,0.2,-0.1160358414053917,-0.4950515627861023,0.3790157213807106
5,0.5,0.3,-0.12405717372894287,-0.4345337748527527,0.3104766011238098
5,0.5,0.4,-0.1316957175731659,-0.37344449758529663,0.24174878001213074
5,0.5,0.5,-0.1389085054397583,-0.31211498379707336,0.17320647835731506
5,0.5,0.6,-0.14566479623317719,-0.25086772441864014,0.10520292818546295
5,0.5,0.7,-0.1519460678100586,-0.1900092363357544,0.0380631685256958
5,0.5,0.8,-0.1577453315258026,-0.12982331216335297,-0.027922019362449646
5,0.5,0.9,-0.16306576132774353,-0.07056713104248047,-0.09249863028526306
5,0.5,1.0,-0.16791892051696777,-0.012467656284570694,-0.15545126423239708
5,0.25,0.0,-0.05087502300739288,-0.4929240942001343,0.4420490711927414
5,0.25,0.1,-0.05980301275849342,-0.43206632137298584,0.3722633086144924
5,0.25,0.2,-0.06849779188632965,-0.37015748023986816,0.3016596883535385
5,0.25,0.3,-0.07689164578914642,-0.3075508773326874,0.23065923154354095
5,0.25,0.4,-0.08492720872163773,-0.2446058839559555,0.15967867523431778
5,0.25,0.5,-0.09255924820899963,-0.18167755007743835,0.08911830186843872
5,0.25,0.6,-0.09975548088550568,-0.11910729110240936,0.019351810216903687
5,0.25,0.7,-0.1064964234828949,-0.057214830070734024,-0.04928159341216087
5,0.25,0.8,-0.11277436465024948,0.0037082359194755554,-0.11648260056972504
5,0.25,0.9,-0.11859180778265,0.06340266764163971,-0.1819944754242897
5,0.25,1.0,-0.12395959347486496,0.12164463102817535,-0.2456042245030403
5,0.05,0.0,-0.012760153040289879,-0.38764023780822754,0.37488008476793766
5,0.05,0.1,-0.021923838183283806,-0.3253675699234009,0.3034437317401171
5,0.05,0.2,-0.030881080776453018,-0.2622513175010681,0.2313702367246151
5,0.05,0.3,-0.03956165909767151,-0.19866037368774414,0.15909871459007263
5,0.05,0.4,-0.0479063019156456,-0.13496556878089905,0.08705926686525345
5,0.05,0.5,-0.055868349969387054,-0.07152904570102692,0.015660695731639862
5,0.05,0.6,-0.06341446191072464,-0.008694756776094437,-0.0547197051346302
5,0.05,0.7,-0.07052414119243622,0.053219325840473175,-0.1237434670329094
5,0.05,0.8,-0.07718878239393234,0.11392742395401001,-0.19111620634794235
