level,training_seed,metric,n,mean,std,median,ci_lo,ci_hi,min,max
within_seed,0,running_inventory_penalty,100,2.086202549999992,5.1629204274441065,0.9835737499999759,1.074270146220947,3.098134953779037,0.03772499999999987,38.238684999999414
within_seed,1,running_inventory_penalty,100,0.2422320999999949,0.22109251027330593,0.1633100000000015,0.19889796798642695,0.28556623201356285,0.003579999999999896,0.831787499999987
within_seed,2,running_inventory_penalty,100,0.20955249999999873,0.14159069372042793,0.15623749999999753,0.18180072403079486,0.2373042759692026,0.006737499999999845,0.5906499999999871
within_seed,3,running_inventory_penalty,100,1.0102354749999873,0.6860863403054568,0.8348187499999691,0.8757625523001178,1.1447083976998569,0.01715999999999964,3.3474324999998757
within_seed,4,running_inventory_penalty,100,3.020660449999964,1.959099679368495,2.8761624999999724,2.636676912843739,3.404643987156189,0.1303699999999986,10.812940000000006
between_training_seeds,ALL,running_inventory_penalty,5,1.3137766149999872,1.2216535943846187,1.0102354749999873,0.2429500260556099,2.3846032039443648,0.20955249999999873,3.020660449999964
within_seed,0,terminal_inventory_penalty,100,0.48672000000000004,1.1013624994303717,0.256,0.27085295011164723,0.7025870498883529,0.001,8.281
within_seed,1,terminal_inventory_penalty,100,0.06138000000000002,0.05435643308921051,0.049,0.05072613911451476,0.07203386088548527,0.001,0.256
within_seed,2,terminal_inventory_penalty,100,0.02152,0.021543697665231686,0.016,0.01729743525761459,0.025742564742385413,0.0,0.081
within_seed,3,terminal_inventory_penalty,100,0.18461,0.12535540545492116,0.14400000000000002,0.16004034053083543,0.20917965946916456,0.004,0.484
within_seed,4,terminal_inventory_penalty,100,0.97514,0.5289124351349701,0.9305,0.8714731627135459,1.078806837286454,0.121,2.3040000000000003
between_training_seeds,ALL,terminal_inventory_penalty,5,0.34587399999999996,0.39622018043002305,0.18461,-0.0014283009395152924,0.6931763009395152,0.02152,0.97514
within_seed,0,adverse_selection_loss,100,9.530793443956346,4.907646551287711,8.666757118600048,8.568894719903955,10.492692168008737,1.8471734784709144,26.7452150508471
within_seed,1,adverse_selection_loss,100,3.881335513730059,2.192450833290823,3.660042334382238,3.4516151504050576,4.31105587705506,0.13065329013088103,12.375971726521962
within_seed,2,adverse_selection_loss,100,5.434821009033958,2.389064432699396,5.263750963430356,4.9665643802248765,5.903077637843039,1.0403298193457835,15.031330057380057
within_seed,3,adverse_selection_loss,100,6.973127507667937,3.098566444692146,6.599192731903582,6.3658084845082765,7.580446530827597,1.5413115116390048,16.868301616089553
within_seed,4,adverse_selection_loss,100,17.549131620300788,6.011941080043457,16.57361250881118,16.37079116861227,18.727472071989304,5.513039588991025,34.860876650558716
between_training_seeds,ALL,adverse_selection_loss,5,8.673841818937817,5.381843011617953,6.973127507667937,3.9564484261995227,13.391235211676111,3.881335513730059,17.549131620300788
within_seed,0,spread_revenue,100,35.67802340065589,9.809927631957306,34.32551477443915,33.75527758479225,37.600769216519524,14.935413167683695,64.80046124596694
within_seed,1,spread_revenue,100,23.138565130207347,6.994232136261085,22.548725211901818,21.767695631500175,24.50943462891452,9.23781706016269,39.05755695907652
within_seed,2,spread_revenue,100,29.88832669298259,7.7255827484555075,29.685618680303797,28.37411247428531,31.40254091167987,15.797642430986807,55.27090741601763
within_seed,3,spread_revenue,100,33.65111371948738,8.065315342019307,33.13848978812162,32.070311912451594,35.23191552652316,16.31213311963277,59.327077170008685
within_seed,4,spread_revenue,100,45.43899049128656,6.982708063573363,44.478765454851114,44.07037971082618,46.80760127174694,30.89888959091947,61.539799839637844
between_training_seeds,ALL,spread_revenue,5,33.559003886923946,8.180651327756081,33.65111371948738,26.388346839042036,40.72966093480586,23.138565130207347,45.43899049128656
within_seed,0,total_fills,100,31.0,22.889281157764476,24.0,26.513700893078163,35.486299106921834,12.0,149.0
within_seed,1,total_fills,100,11.96,3.570134253198132,11.5,11.260253686373167,12.659746313626835,5.0,20.0
within_seed,2,total_fills,100,17.06,4.476244818680908,17.0,16.18265601553854,17.937343984461457,9.0,33.0
within_seed,3,total_fills,100,23.75,5.339721552911374,23.5,22.70341457562937,24.79658542437063,12.0,42.0
within_seed,4,total_fills,100,45.0,7.768103651692242,45.0,43.47745168426832,46.52254831573168,29.0,66.0
between_training_seeds,ALL,total_fills,5,25.753999999999998,12.9209628124223,23.75,14.428276736137333,37.07972326386266,11.96,45.0
within_seed,0,mean_signed_inventory,100,3.996705,12.067479280846584,7.462125,1.6314790609540695,6.36193093904593,-54.121,16.89325
within_seed,1,mean_signed_inventory,100,-3.7001450000000005,2.1756070957495424,-3.4044999999999996,-4.126563990766911,-3.27372600923309,-8.54875,0.35125
within_seed,2,mean_signed_inventory,100,-3.84924,1.5874899903923676,-3.6422499999999998,-4.1603880381169045,-3.538091961883096,-7.338,-0.00625
within_seed,3,mean_signed_inventory,100,8.534767500000001,3.5305793652547126,8.509,7.8427739444100775,9.226761055589925,-1.908,17.40575
within_seed,4,mean_signed_inventory,100,13.52248,5.499447234353134,13.691125,12.444588342066785,14.600371657933215,1.69175,29.3355
between_training_seeds,ALL,mean_signed_inventory,5,3.7009135,7.610803019601398,3.996705,-2.9702494827542405,10.37207648275424,-3.84924,13.52248
within_seed,0,mean_abs_inventory,100,9.742469999999999,8.17080173237905,8.485375,8.140992860453705,11.343947139546293,1.611,54.121
within_seed,1,mean_abs_inventory,100,3.7723350000000004,2.0964854095002603,3.422875,3.3614238597379495,4.183246140262051,0.358,8.54875
within_seed,2,mean_abs_inventory,100,3.8846149999999993,1.533924366254376,3.6422499999999998,3.5839658242141414,4.185264175785857,0.53675,7.338
within_seed,3,mean_abs_inventory,100,8.5944925,3.4119924711302105,8.509,7.925741975658478,9.26324302434152,1.012,17.40575
within_seed,4,mean_abs_inventory,100,13.635025,5.330949955084095,13.691125,12.590158808803519,14.679891191196482,2.339,29.3355
between_training_seeds,ALL,mean_abs_inventory,5,7.9257875,4.181062585000075,8.5944925,4.2609245579694655,11.590650442030535,3.7723350000000004,13.635025
within_seed,0,max_abs_inventory,100,18.3,13.2096536478043,16.0,15.710907885030359,20.889092114969642,4.0,94.0
within_seed,1,max_abs_inventory,100,7.43,3.260584938536971,7.0,6.790925352046753,8.069074647953245,1.0,16.0
within_seed,2,max_abs_inventory,100,6.7,2.0572610996962037,6.5,6.296776824459545,7.103223175540456,2.0,12.0
within_seed,3,max_abs_inventory,100,13.39,4.501167076493057,13.0,12.50777125300736,14.27222874699264,3.0,23.0
within_seed,4,max_abs_inventory,100,30.21,8.81148813948718,31.0,28.482948324660512,31.93705167533949,11.0,49.0
between_training_seeds,ALL,max_abs_inventory,5,15.206,9.628199727882675,13.39,6.766510835743668,23.645489164256333,6.7,30.21
within_seed,0,terminal_signed_inventory,100,8.46,20.477837243757413,15.0,4.446343900223548,12.473656099776454,-91.0,26.0
within_seed,1,terminal_signed_inventory,100,-7.04,3.45510893862665,-7.0,-7.717201351970823,-6.362798648029177,-16.0,-1.0
within_seed,2,terminal_signed_inventory,100,-4.0,2.3613042107609887,-4.0,-4.462815625309154,-3.5371843746908462,-9.0,1.0
within_seed,3,terminal_signed_inventory,100,12.63,5.034537283263046,12.0,11.643230692480444,13.616769307519558,-4.0,22.0
within_seed,4,terminal_signed_inventory,100,29.96,8.849950065487159,30.5,28.22540978716452,31.694590212835482,11.0,48.0
between_training_seeds,ALL,terminal_signed_inventory,5,8.002,14.782520759329243,8.46,-4.955450748291501,20.959450748291502,-7.04,29.96
within_seed,0,terminal_abs_inventory,100,17.72,13.208567773466683,16.0,15.13112071640053,20.30887928359947,1.0,91.0
within_seed,1,terminal_abs_inventory,100,7.04,3.45510893862665,7.0,6.362798648029177,7.717201351970823,1.0,16.0
within_seed,2,terminal_abs_inventory,100,4.02,2.326743942452064,4.0,3.563958187279395,4.476041812720604,0.0,9.0
within_seed,3,terminal_abs_inventory,100,12.71,4.826892259921376,12.0,11.763929117055412,13.65607088294459,2.0,22.0
within_seed,4,terminal_abs_inventory,100,29.96,8.849950065487159,30.5,28.22540978716452,31.694590212835482,11.0,48.0
between_training_seeds,ALL,terminal_abs_inventory,5,14.289999999999997,10.220635988039101,12.71,5.331217557725825,23.24878244227417,4.02,29.96
within_seed,0,frac_time_positive,100,0.7576575000000002,0.34189083306826334,0.923875,0.6906468967186206,0.8246681032813798,0.0,0.9995
within_seed,1,frac_time_positive,100,0.031212499999999997,0.096627136477223,0.0,0.01227358125046429,0.0501514187495357,0.0,0.558
within_seed,2,frac_time_positive,100,0.0167625,0.06359671485345382,0.0,0.004297543888723051,0.02922745611127695,0.0,0.449
within_seed,3,frac_time_positive,100,0.9396900000000002,0.12146521886507015,0.97725,0.9158828171024465,0.963497182897554,0.003,1.0
within_seed,4,frac_time_positive,100,0.9115175000000002,0.12186006968895086,0.963125,0.8876329263409658,0.9354020736590346,0.413,0.9995
between_training_seeds,ALL,frac_time_positive,5,0.5313680000000002,0.4683539742158169,0.7576575000000002,0.12083764103953004,0.9418983589604704,0.0167625,0.9396900000000002
within_seed,0,frac_time_negative,100,0.17956750000000002,0.33268447236120374,0.00025,0.1143613434172041,0.24477365658279593,0.0,0.99525
within_seed,1,frac_time_negative,100,0.82422,0.19320306896782427,0.903125,0.7863521984823064,0.8620878015176935,0.17225,0.99975
within_seed,2,frac_time_negative,100,0.8967099999999999,0.1255704444332006,0.9390000000000001,0.8720981928910926,0.9213218071089072,0.255,0.99975
within_seed,3,frac_time_negative,100,0.018237499999999997,0.09662934477406253,0.0,-0.0007018515757162593,0.03717685157571625,0.0,0.93675
within_seed,4,frac_time_negative,100,0.034805,0.09030644084214456,0.0,0.01710493759493967,0.05250506240506034,0.0,0.4795
between_training_seeds,ALL,frac_time_negative,5,0.39070799999999994,0.4341521068898261,0.17956750000000002,0.010156899556480858,0.771259100443519,0.018237499999999997,0.8967099999999999
within_seed,0,bid_action_mean,100,-0.1577153780119913,0.04521468735392492,-0.14300935654202476,-0.16657745673336058,-0.148853299290622,-0.2747507830709219,-0.09368791256239638
within_seed,1,bid_action_mean,100,0.7893284669705481,0.0817890643594787,0.7978727968037129,0.7732978103560904,0.8053591235850059,0.5909131976068019,0.9302868681848049
within_seed,2,bid_action_mean,100,0.4231198804922262,0.09094535024889448,0.42917333739495367,0.4052945918434429,0.4409451691410095,0.26005817296146416,0.690129430115223
within_seed,3,bid_action_mean,100,-0.03769304641235824,0.05254091205825726,-0.027366450102592352,-0.047991065175776663,-0.027395027648939814,-0.1927559719802812,0.06919792349892669
within_seed,4,bid_action_mean,100,-0.4027062078088918,0.06812944150751778,-0.4140863477140665,-0.4160595783443653,-0.38935283727341835,-0.5184919302500784,-0.2287822307816241
between_training_seeds,ALL,bid_action_mean,5,0.12286674304590658,0.47829276476897886,-0.03769304641235824,-0.29637534994063663,0.5421088360324499,-0.4027062078088918,0.7893284669705481
within_seed,0,bid_action_std,100,0.07770363401936661,0.016328166118259626,0.079217801109714,0.07450331346018772,0.0809039545785455,0.025694669243997322,0.10805458497336436
within_seed,1,bid_action_std,100,0.18274877130198897,0.052591340662596645,0.19846886466596275,0.17244086853212,0.19305667407185792,0.048388157249250406,0.26917466437263793
within_seed,2,bid_action_std,100,0.2854086142088486,0.050259659254633056,0.28133548322094326,0.2755577209949405,0.2952595074227567,0.16697873746411282,0.394315123884159
within_seed,3,bid_action_std,100,0.2671446740063219,0.036906473854244164,0.26403336704230385,0.25991100513089005,0.2743783428817538,0.19087837428205873,0.3574351295113274
within_seed,4,bid_action_std,100,0.1436478024050498,0.03722774098887991,0.14339210567764699,0.13635116517122933,0.15094443963887025,0.05666248350866956,0.22329010704021582
between_training_seeds,ALL,bid_action_std,5,0.1913306991883152,0.08639564650940781,0.18274877130198897,0.1156015760747245,0.2670598223019059,0.07770363401936661,0.2854086142088486
within_seed,0,ask_action_mean,100,0.5362255971294315,0.42664920299725356,0.7104876867677086,0.45260235334196985,0.6198488409168932,-0.7036594439945184,0.9071382773350924
