agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective
return_mlp_ppo,0.0,70001.0,150083,-7.781826362771,-7.843853862771,29.63279160278749,8.94861235526661,0.058027500000000905,0.004,1.85575,5.0,1.83175,2.0,2.0,18.0,0.09669589423813159,0.09355396490741986,0.04188926693074999,0.051604479079892455,3.0652904175653024,4000,5.986322548778844e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,-0.43232368682061106,True,True,1800.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150084,-16.538864805093738,-16.57220980509374,33.50157843363962,10.798304924797495,0.029345000000000367,0.004,1.0895,4.0,-0.9775,-2.0,2.0,20.0,0.07824038405049942,0.10574074587447103,0.0534647731156979,0.04602563038347896,3.1123280727839404,4000,1.9895196601282805e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,-0.8269432402546869,True,True,2000.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150085,29.41454206526079,29.33312956526079,34.94277112687601,9.359358404766487,0.0804124999999966,0.001,2.52475,5.0,-2.52475,-1.0,1.0,21.0,0.06843551286918227,0.11158247100608423,0.04347912306621787,0.04691352502399901,3.136346485734773,4000,3.268496584496461e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,1.4006924792981328,False,False,2100.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150086,64.80872857896975,64.71409607896975,39.83889321056803,5.140391397601734,0.05863250000000185,0.036000000000000004,2.06475,6.0,2.06475,6.0,6.0,24.0,0.0980131763597019,0.09296984914131462,0.042159760910703274,0.04823137750325756,3.0623716639439613,4000,8.526512829121202e-14,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,2.700363690790406,False,False,2400.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150087,69.79234531426644,69.65793281426645,46.60421293294642,8.823268225048391,0.1344124999999977,0.0,3.39175,6.0,-3.38625,0.0,0.0,28.0,0.06381626822549151,0.11356743287132122,0.040176057371629534,0.04752407854279004,3.146484317373781,4000,3.410605131648481e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,2.492583761223801,False,False,2800.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150088,54.85778979854899,54.81211979854899,41.60726473386528,9.925861505982263,0.03667000000000085,0.009000000000000001,1.577,4.0,-1.5565,-3.0,3.0,25.0,0.07476474305536249,0.10784442164027132,0.045758579573206004,0.04746192858261224,3.120892640519158,4000,2.3590018827235326e-12,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,2.19431159194196,False,False,2500.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150089,38.27200745515026,38.25839995515026,45.175398091443796,5.735555033774938,0.012607500000000157,0.001,0.81725,2.0,0.72775,1.0,1.0,27.0,0.08978305456560338,0.09827962013601792,0.046367917397400475,0.0493312385661369,3.0831561674747827,4000,7.958078640513122e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,1.4174817575981578,False,False,2700.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150090,13.487741660947108,13.427526660947107,27.773283631185464,8.08612888716298,0.051215000000001565,0.009000000000000001,1.792,4.0,1.792,3.0,3.0,17.0,0.09675277944270055,0.09370709219959099,0.03882481126737882,0.051242792389543025,3.0654381546294567,4000,2.113864638886298e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,0.7933965682910062,False,False,1700.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150091,56.85929753661155,56.838365036611556,34.759120723129975,10.245631550807042,0.019932499999998524,0.001,1.09575,3.0,-0.41625,1.0,1.0,21.0,0.08236688541888725,0.10327031550370157,0.04011660810786234,0.050279734826821625,3.102201408329219,4000,1.0658141036401503e-12,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,2.7075855969815024,False,False,2100.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
return_mlp_ppo,0.0,70001.0,150092,22.766395066825496,22.737962566825495,31.959082406733053,4.187824775960525,0.027432499999998375,0.001,1.47825,3.0,0.99475,1.0,1.0,19.0,0.0917106433416484,0.09715802726685069,0.04033872516933718,0.04855080773483725,3.0784755006733846,4000,6.252776074688882e-13,exogenous_paired_fills_not_claimed_paired,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,200000.0,,1.198231319306605,False,False,1900.0,best,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\return_mlp_ppo\ppo_return_mlp_ppo_varenv_70001_learner_0_best.zip,16000.0,46.781205031390904
