seed,cumulative_objective,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,reconciliation_abs_diff,mean_signed_inventory,mean_abs_inventory,terminal_signed_inventory,terminal_abs_inventory,total_fills,bid_action_mean,bid_action_std,ask_action_mean,ask_action_std,frac_bid_near_low,frac_bid_near_high,frac_ask_near_low,frac_ask_near_high,mean_belief,episode_length,treatment
100002,72.99500627512722,73.22670377512594,0.2066974999999945,0.025,72.99500627512595,1.2789769243681803e-12,-3.43675,3.63575,-5.0,5.0,45.0,-0.21665806115791203,0.025330099120191674,-0.1955130883208476,0.20612543930072127,0.0,0.0,0.0,0.0,0.5728042179429199,4000,complement
100003,65.03804926739501,65.65604426739696,0.4739949999999917,0.14400000000000002,65.03804926739697,1.9610979506978765e-12,5.3465,5.5995,12.0,12.0,22.0,-0.15236833292944357,0.10201775461418691,0.6247619347940199,0.31701023975233267,0.0,0.0,0.0,0.1905,0.7010911084753166,4000,correct
100003,17.670271673720638,17.775431673719766,0.08016000000000274,0.025,17.670271673719764,8.739675649849232e-13,-0.214,2.3855,5.0,5.0,31.0,-0.20760046512447297,0.0765730546795812,0.2757844603089616,0.404726513069398,0.0,0.0,0.0,0.0185,0.7010911084753166,4000,stationary
100003,35.854583670475385,36.086096170476026,0.16751249999999784,0.064,35.854583670476025,6.394884621840902e-13,2.53775,3.08175,8.0,8.0,26.0,-0.1759669238324277,0.08758571864824354,0.46341308023547756,0.4319210472775146,0.0,0.0,0.0,0.19625,0.7010911084753166,4000,shuffled
100003,-285.7298833434133,-267.7970483433983,13.963835000000097,3.969,-285.72988334339834,1.4949819160392508e-11,-30.6095,30.6095,-63.0,63.0,101.0,-0.23682780295610428,0.03718441231870667,-0.6931973995128646,0.24430006407035165,0.0,0.0,0.16825,0.0,0.7010911084753166,4000,complement
100004,-62.69525807832517,-61.236668078325465,1.1695899999999948,0.289,-62.69525807832546,2.913225216616411e-13,9.819,9.819,17.0,17.0,19.0,-0.13867013378767296,0.07460554251469438,0.861306909239851,0.2189566291110501,0.0,0.0,0.0,0.526,0.9318456740434454,4000,correct
100004,-62.76273137067598,-61.304141370676234,1.1695899999999948,0.289,-62.76273137067623,2.4868995751603507e-13,9.819,9.819,17.0,17.0,19.0,-0.12712126501090826,0.07485357740053775,0.8177228601127863,0.25210919564833684,0.0,0.0,0.0,0.46,0.9318456740434454,4000,stationary
100004,-62.93815427755155,-61.479564277551844,1.1695899999999948,0.289,-62.93815427755184,2.913225216616411e-13,9.819,9.819,17.0,17.0,19.0,-0.13868684493098407,0.07449130639982722,0.8618962044874207,0.22441657110426072,0.0,0.0,0.0,0.54025,0.9318456740434454,4000,shuffled
100004,-40.407728474368916,-39.337855974369404,0.844872500000015,0.225,-40.40772847436942,5.044853423896711e-13,8.31575,8.31575,15.0,15.0,21.0,-0.08567756866430863,0.07761224378103453,0.5443560934672133,0.3678943011193002,0.0,0.0,0.0,0.06175,0.9318456740434454,4000,complement
100005,24.020429692427932,24.51227219242776,0.41084249999999767,0.081,24.02042969242776,1.7053025658242404e-13,5.98375,5.98375,9.0,9.0,19.0,-0.1390704431948252,0.08563244204337392,0.7205864284015261,0.23008359191818414,0.0,0.0,0.0,0.274,0.6687506056361391,4000,correct
100005,28.813140904221715,29.21044840422121,0.3333075000000003,0.064,28.81314090422121,5.044853423896711e-13,5.45025,5.45025,8.0,8.0,20.0,-0.15002654625754802,0.06657866602072146,0.7417411318160594,0.2602561234741139,0.0,0.0,0.0,0.1985,0.6687506056361391,4000,stationary
