agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count
oracle,,,160024,31.17046378516187,31.108323785161875,61.88204060747051,19.448277345282914,0.037139999999998556,0.025,1.543,5.0,0.7945,-5.0,5.0,59.0,-0.2643135173835892,-0.27868279780907107,0.10234436974890565,0.09998407858818245,2.2365833100498502,4000,5.400124791776761e-13,exogenous_paired_fills_not_claimed_paired,,,,0.5283129455112181,False,False,5900.0,analytic,,,,,,,
oracle,,,160025,-54.21120860602545,-54.56788610602544,74.99794685383277,21.392245184567088,0.35267749999999154,0.004,5.35975,10.0,-5.35975,-2.0,2.0,74.0,-0.3424739106900361,-0.2747467707678438,0.1351540100295808,0.13748521317479098,2.1226446971837003,4000,9.663381206337363e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.732583900081425,True,True,7400.0,analytic,,,,,,,
oracle,,,160026,-5.523424835469655,-5.630419835469651,42.07794418983359,15.15068458221905,0.10299499999999599,0.004,2.525,8.0,-1.868,2.0,2.0,42.0,-0.31435667529579503,-0.28424297899660317,0.13222061253799378,0.12581939598864855,2.151229030228684,4000,9.530154443382344e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.13151011513022987,True,True,4200.0,analytic,,,,,,,
oracle,,,160027,49.79352570912441,49.74497820912441,73.02538276822024,23.32549743361134,0.047547500000002456,0.001,1.86075,5.0,-0.48375,1.0,1.0,75.0,-0.3207437718375736,-0.31694698323062526,0.14056153821128367,0.14476644402337602,2.0912219729519594,4000,1.1368683772161603e-12,exogenous_paired_fills_not_claimed_paired,,,,0.6639136761216589,False,False,7500.0,analytic,,,,,,,
oracle,,,160028,10.129625438646485,9.860925438646488,67.73696605415587,20.464145034009782,0.20469999999999697,0.064,3.74,9.0,-2.674,-8.0,8.0,72.0,-0.3436522898481534,-0.3246385853192319,0.14709208289077422,0.15349377356445615,2.044249052695817,4000,4.973799150320701e-13,exogenous_paired_fills_not_claimed_paired,,,,0.1406892422034234,False,False,7200.0,analytic,,,,,,,
oracle,,,160029,47.200590620873896,46.93101312087389,52.839572314337715,14.412647961501781,0.2695775000000073,0.0,4.48675,9.0,4.03025,0.0,0.0,58.0,-0.32032454335222643,-0.36766024647920886,0.15835597848307573,0.1517184601144252,2.0140177764770577,4000,1.6200374375330284e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8138032865667914,False,False,5800.0,analytic,,,,,,,
oracle,,,160030,21.69427575241525,21.58329075241525,69.92933700844571,22.064782508293668,0.10198499999999942,0.009000000000000001,2.2785,8.0,1.346,3.0,3.0,71.0,-0.2892660605883079,-0.2952243907209023,0.12233056191942153,0.12379268044241745,2.1728874572040944,4000,2.589928271845565e-12,exogenous_paired_fills_not_claimed_paired,,,,0.30555317961148243,False,False,7100.0,analytic,,,,,,,
oracle,,,160031,21.81905024542283,21.72449774542283,51.05006391865889,16.44534615192878,0.07855250000000026,0.016,2.50775,6.0,-2.50775,-4.0,4.0,54.0,-0.32738473907025645,-0.2961968846351092,0.13610024381103766,0.1397200693903253,2.112880289986063,4000,6.288303211476887e-13,exogenous_paired_fills_not_claimed_paired,,,,0.4040564860263487,False,False,5400.0,analytic,,,,,,,
oracle,,,160032,47.21048294712716,46.56703044712715,75.90291546651507,11.828399513183944,0.5794525000000103,0.064,5.87475,15.0,5.52825,8.0,8.0,96.0,-0.41736607579741236,-0.482449562736518,0.16198082851260537,0.15743524912308948,1.6888454068379628,4000,3.126388037344441e-13,exogenous_paired_fills_not_claimed_paired,,,,0.4917758640325746,False,False,9600.0,analytic,,,,,,,
oracle,,,160033,-77.93713337719169,-78.76598087719168,46.32191759865358,15.929726756885517,0.7078474999999945,0.121,7.73475,13.0,-7.73475,-11.0,11.0,43.0,-0.30403312183799197,-0.22298109987771159,0.08226144489151266,0.0972137639132428,2.261116730179769,4000,5.258016244624741e-13,exogenous_paired_fills_not_claimed_paired,,,,-1.8124914738881788,True,True,4300.0,analytic,,,,,,,
