group,learner_seed,update_index,num_timesteps,actor_distance_from_clone,deterministic_objective,deterministic_objective_change_from_t0,bid_action_depth_mse,ask_action_depth_mse,mean_quoted_spread_error_signed,mean_inventory_skew_error_signed,frac_wrong_inventory_skew,corr_bid,corr_ask,frac_wider_than_analytical,n_states
B_clone_init,1,13,52000,0.5161013603210449,29.10175407544448,-0.3117017214527884,0.11317451471353647,0.13918891338132255,-0.4002483337778109,-0.09474659091032152,0.8888888888888888,0.8928084835922986,0.8241919260267594,0.07037037037037037,270
B_clone_init,1,14,56000,0.5308054089546204,30.32239042980637,0.9089346329091015,0.11781676096553992,0.1116374846809326,-0.21903718701236752,-0.08947483029263928,0.8888888888888888,0.9017388789077234,0.8342120211523095,0.21481481481481482,270
B_clone_init,1,15,60000,0.5454397201538086,31.787945387852915,2.3744895909556476,0.1192033359314274,0.07031085096169726,-0.08183178568832875,-0.006725652229098602,0.8851851851851852,0.8903304431097149,0.8347922674266771,0.35555555555555557,270
B_clone_init,1,16,64000,0.5318393707275391,32.732754038257546,3.319298241360279,0.10013022007512218,0.0879718434525842,-0.03943078315151062,0.052189050275656755,0.8888888888888888,0.8759362883674223,0.8612842997580427,0.43333333333333335,270
B_clone_init,2,1,4000,0.11142382770776749,37.89104515975891,8.477589362861643,0.032477806312174624,0.00969995153468287,0.14661963638416162,-0.14765183523032233,0.8888888888888888,0.9421091076728108,0.9472029218011867,1.0,270
B_clone_init,2,2,8000,0.18003560602664948,32.07822130249134,2.664765505594076,0.021906343247154327,0.01355768984563495,0.037837170315037236,-0.1422847449484797,0.8851851851851852,0.9344257013704489,0.9409608612710227,0.6703703703703704,270
B_clone_init,2,3,12000,0.23891200125217438,33.52768839516703,4.114232598269766,0.02519759282023632,0.027602613919022658,-0.03543017674157838,-0.13138287188798584,0.8888888888888888,0.9335779412358196,0.8867096200270584,0.4222222222222222,270
B_clone_init,2,4,16000,0.3055892586708069,36.093849179812764,6.680393382915497,0.04008188796103336,0.047634282276748506,0.0894848185158417,-0.20603402634654974,0.8555555555555555,0.9324806478397895,0.7075817378521748,0.6444444444444445,270
B_clone_init,2,5,20000,0.3012753427028656,41.71964070197705,12.306184905079782,0.02206255861076822,0.07828293078435496,-0.0746999491007765,-0.28716096870692065,0.7703703703703704,0.9389972318851904,0.7274242431852024,0.3962962962962963,270
B_clone_init,2,6,24000,0.32105553150177,39.08433215230315,9.67087635540588,0.03067462015420218,0.05187257453171723,0.022575485708617716,-0.20638386469666528,0.8444444444444444,0.8990792482361227,0.73730641455485,0.5296296296296297,270
B_clone_init,2,7,28000,0.3532891273498535,39.060636327640985,9.647180530743718,0.024604898550981927,0.06791543692778053,-0.10855219703047178,-0.22959348635204965,0.8851851851851852,0.9181440369633096,0.7851784188711242,0.36666666666666664,270
B_clone_init,2,8,32000,0.3394317328929901,43.93921344293917,14.525757646041903,0.028960227418463307,0.13795548368010027,-0.2804484948535142,-0.3633879665581888,0.662962962962963,0.8761084531604317,0.8114447473245309,0.17037037037037037,270
B_clone_init,2,9,36000,0.4154279828071594,44.51441160752369,15.100955810626424,0.0615938440709279,0.09464294646430042,-0.14839268713727138,-0.34558013019567213,0.7148148148148148,0.8605631261804477,0.8087530412260293,0.34814814814814815,270
B_clone_init,2,10,40000,0.43143126368522644,37.23169558234037,7.8182397854431045,0.05793272581472525,0.06196206460201792,-0.18915693934141065,-0.1555035421581439,0.8814814814814815,0.8854081468529036,0.8257957576345621,0.3,270
B_clone_init,2,11,44000,0.3781738877296448,36.04654862267066,6.633092825773396,0.046868074476070824,0.044838893080367016,-0.21697316779745995,-0.057343809306274654,0.8888888888888888,0.8839137413061934,0.8562948315027573,0.2518518518518518,270
