group,learner_seed,timestep,actor_distance_from_clone,det_mean_objective,det_se_objective,det_mean_raw_pnl,det_mean_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_loss_rate,det_frac_near_bound,stoch_mean_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_mean_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_loss_rate,stoch_frac_near_bound,n_eval_seeds,bid_action_depth_mse,ask_action_depth_mse,mean_quoted_spread_error_signed,mean_inventory_skew_error_signed,frac_wrong_inventory_skew,corr_bid,corr_ask,frac_wider_than_analytical,n_states,model_path,actor_clone_verify_max_abs_diff
B_clone_init,0,16000,0.27388685941696167,28.266717077628336,11.641060856000545,28.489625836016785,3.0353430151203282,68.4,3.4166537334345564,0.8479166721168097,0.2,0.0,-14.672395023090536,12.902485437024936,-14.285156295493938,3.088441515992527,118.15,4.050535616487788,0.20852528531736056,0.55,0.6139381001291662,20,0.01978724129986443,0.021474703468433994,-0.05962335117684254,0.04784163042838694,0.8888888888888888,0.9247044218327054,0.8718069091124475,0.4148148148148148,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t016000.zip,
B_clone_init,0,24000,0.29716095328330994,23.018326360558156,12.9939299579939,23.372240349720858,3.024123339271331,63.55,4.255942582663023,0.12874009200778067,0.25,0.0,-25.406475720071512,12.361342293265265,-24.829176464211923,3.0356352870584438,115.8,5.418419227879193,-0.25423410794751444,0.75,0.6083708477434827,20,0.05818301495889516,0.030006726666661234,0.045853349358995925,0.015833080127134264,0.8666666666666667,0.6064640181747956,0.8503211694405434,0.5111111111111111,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t024000.zip,
B_clone_init,0,32000,0.33136916160583496,25.881650241426293,13.279039211684502,26.264482558944927,2.9527233956108527,77.1,4.651585408260004,-0.5918262051000422,0.3,0.0,-8.035471052547793,15.736386351277547,-7.350263651985981,3.002176141450689,120.2,6.169317439376955,0.3132913869675729,0.55,0.6132617811247092,20,0.07926509923894427,0.05782374236784087,-0.20769186198431355,-0.04406224434634297,0.8629629629629629,0.5666600714924782,0.8388286522044707,0.42962962962962964,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t032000.zip,
B_clone_init,0,48000,0.5024290680885315,11.153609140923155,17.04498411201151,11.894125229917947,2.971342300345038,94.9,5.767843131977662,4.374274448905517,0.25,0.07214655767606389,-17.398185037773878,16.78197699111707,-16.81400587515754,3.081311890122624,122.9,5.35891019849806,1.7228353102027056,0.5,0.621164745031907,20,0.1350897378602975,0.08042829769573885,-0.27165691905365336,0.1985845288679906,0.8555555555555555,0.7423547148150746,0.8516993616175031,0.2851851851851852,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t048000.zip,
B_clone_init,0,64000,0.5573850870132446,36.002749695232545,8.592722133828358,36.17869329603557,2.933955205784064,65.65,3.0655124207567424,1.0748414542597486,0.2,0.0,1.22618146683131,7.8977709370437825,1.431555546421547,3.0216455821264985,105.6,3.308195666749211,0.15521343973482207,0.5,0.6070128583920076,20,0.09591684643326279,0.1332949129162768,0.14446526383512615,0.02948966226038682,0.8888888888888888,0.7917140587182511,0.8869680050391682,0.5814814814814815,270,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\logs\phase5_ppo_optimisation\checkpoints\B_clone_init_seed0_t064000.zip,
C_frozen_clone,0,0,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-15.151419242127275,15.197857599753116,-14.59628190285539,3.034223942152244,115.6,5.087698330585336,0.44388036682182463,0.5,0.6122862921756695,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,4000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-8.002548464336297,12.337744873304487,-7.516370184167033,3.0589013440631807,114.45,4.963988321952159,-0.28903102678630144,0.55,0.6038881067042505,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,8000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-18.40365278979644,17.826826054282755,-17.58106340545541,3.0790948058246093,114.95,6.271112576420014,0.22265629371907622,0.65,0.5948598024636904,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,16000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-13.956245954255971,14.643260413483636,-13.48800825268396,3.090666667810635,117.2,4.380957294913516,0.18275332846025277,0.55,0.6115730050080344,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,24000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-29.488383632863798,13.89162524396319,-28.86435552743445,3.0489304531123462,117.25,5.520286095321056,0.7328884290251249,0.7,0.6139205137332695,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,32000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-12.299784757857207,19.27783509800448,-11.599906725214485,3.071797489282793,114.45,5.918311414298735,1.800845675033392,0.5,0.6071789675178638,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,48000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,-11.665650330530394,15.712706775226966,-11.103567302973,3.065162710128102,116.9,5.352004762279839,1.0872510787767338,0.5,0.6037131327516346,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
C_frozen_clone,0,64000,0.0,29.413455796897267,15.844837414268234,29.782404320226835,3.063225981536122,64.75,4.249256583185045,0.7497658433028679,0.25,0.0,0.1536823139727531,10.925982842043885,0.4540262369678082,3.0661249546666105,115.15,3.884928647981816,1.1927591113566423,0.45,0.6169029390716052,20,0.017673124109922972,0.017456144783496726,-0.003862058980662526,-0.0045276682069604205,0.8888888888888888,0.9186991925706054,0.9186617225193988,0.24444444444444444,270,,
