environment_type,agent_type,learner_seed,n_episodes,mean_full_objective,std_full_objective,se_full_objective,loss_rate,mean_raw_pnl,mean_quoted_spread,median_quoted_spread,mean_fills,mean_abs_inventory,mean_signed_inventory,mean_terminal_abs_inventory,mean_terminal_signed_inventory,mean_running_penalty,mean_terminal_penalty,mean_adverse_selection_loss,mean_return_on_turnover_pct,max_reward_reconciliation_error
event,hamilton_ppo,4.0,200,34.996478527432515,48.50877984083574,3.4300887172540246,0.14,35.23362060385639,3.3565485678154245,3.359152460979946,26.53,3.448778633608997,-3.0765596937090742,4.27,-3.6,0.209382076423866,0.027760000000000003,6.506553893200646,1.3926372959376363,1.7053025658242404e-13
event,return_mlp_ppo,0.0,200,33.391061251777415,31.4683675122024,2.225149606074876,0.09,33.47006948719965,3.338373864568459,3.3399335084175013,23.625,2.0356369652260824,-0.8510356842302943,2.555,-0.665,0.06938323542224457,0.009625,7.8790104110300145,1.428979479816378,1.4210854715202006e-13
event,return_mlp_ppo,1.0,200,28.808186739320362,36.98537237103714,2.6152607608269935,0.205,28.995721826169074,3.352647850901491,3.360781688580019,26.67,3.058724150396803,2.5751146803972915,5.07,4.9,0.15317508684871195,0.03436,9.327136618073535,1.10437311545205,8.526512829121202e-14
event,return_mlp_ppo,2.0,200,22.008535510606794,40.65344567622762,2.874632711625948,0.22,22.185546458843255,3.890170778402142,3.9139918444265205,17.775,2.688953306849978,0.7140280344035499,5.185,2.035,0.13659594823646107,0.040415000000000006,6.176028755553375,1.2640886621460148,1.4210854715202006e-13
event,return_mlp_ppo,3.0,200,35.43004918360793,32.51455855924561,2.299126484452967,0.125,35.56494427880652,3.0587574193071188,3.0567089253784285,29.505,2.583003215237479,-0.2311710206775193,3.595,0.035,0.11477009519859262,0.020125,9.991657574608515,1.2160370264718892,1.7053025658242404e-13
event,return_mlp_ppo,4.0,200,24.98407666523147,40.46821118493327,2.8615346551355603,0.205,25.23794763036033,3.777995213074206,3.775049635701321,17.81,3.2453027957147613,2.850875281992211,6.45,6.17,0.19593096512886518,0.05794,5.9773444425823365,1.4397522203112891,1.9895196601282805e-13
event,return_lstm_ppo,0.0,200,30.42599796801289,36.33269076147795,2.5691092016194883,0.14,30.562205946651876,3.5603256900172817,3.5672816056776244,19.815,2.5691808239570877,-1.4548477270384743,4.115,-2.765,0.11208297863897985,0.024125,6.4665762362062456,1.596157012569306,1.1368683772161605e-13
event,return_lstm_ppo,1.0,200,24.069233293738776,56.04108214797811,3.962702921186769,0.26,24.515121943615323,3.6044039084669532,3.6060705049647197,20.525,4.660916021500751,4.519268328899466,8.525,8.505,0.35494364987654264,0.090945,6.833365091423045,1.2108009182915316,1.7053025658242404e-13
event,return_lstm_ppo,2.0,200,31.901465202763895,44.318792187771585,3.1338118489970674,0.175,32.16390659098783,3.3894573910408985,3.383403771399192,23.105,3.1872764265727915,-1.2724717148856115,6.715,-4.335,0.1965263882239327,0.065915,7.658620274836214,1.4821046383714298,1.4210854715202006e-13
event,return_lstm_ppo,3.0,200,40.50012975237019,53.22292004323866,3.7634287677123472,0.165,40.819345667247546,2.813239438366961,2.816129960768828,34.455,3.9316851211268316,-2.6964112895958614,6.415,-5.105,0.2615109148773491,0.057705,11.53547450153052,1.209267298927783,1.5631940186722204e-13
event,return_lstm_ppo,4.0,200,29.432979275711997,30.733260671239183,2.173169702860705,0.14,29.541091740302676,3.5007530986510718,3.5009415692174572,20.33,2.2800814039878134,0.37163241046950873,3.46,0.64,0.09024246459068141,0.01787,6.818798174895533,1.4612734233601667,7.105427357601003e-14
