n_updates,num_timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,log_std_mean,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,actor_grad_norm_mean,critic_grad_norm_mean,actor_param_update_norm,critic_param_update_norm,frac_sampled_action_clipped,frac_sampled_action_near_bound,log_std_bid,log_std_ask,action_std_bid,action_std_ask,learning_rate,total_loss
130,52000,-0.0009197092544920448,60.5159810256958,0.26763900369405746,0.0023865574039518833,0.007924999995157122,0.5196319222450256,0.2109013795852661,-0.10831327736377716,7.9657440185546875,-37.3810920715332,36.444114685058594,15.23476791381836,11.493155479431152,0.5960115455029256,10.033757497790761,0.08038255572319031,0.6698284149169922,0.0,0.0,-1.5668596029281616,-1.5459786653518677,0.208699569106102,0.21310321986675262,0.0003,35.276390075683594
140,56000,-0.0025149085556280593,70.66370052337646,0.27128529459238054,0.005163858179003,0.030725000090897084,0.5589419007301331,0.2119213342666626,1.4245507717132568,8.428576469421387,-74.68167114257812,38.89420700073242,15.931584358215332,12.691306114196777,0.5905455267935534,11.628062954758427,0.10792525112628937,0.6098818182945251,0.0,0.00025,-1.5664528608322144,-1.53684663772583,0.20878446102142334,0.21505819261074066,0.0003,33.40788650512695
150,60000,-0.0011680265578732363,44.13209674835205,0.2671207559108734,0.002611813135445118,0.007424999955110252,0.661801278591156,0.21114011108875275,1.9996367692947388,6.597184658050537,-25.742992401123047,51.15242004394531,18.415246963500977,11.344167709350586,0.5592111613823145,11.529337601857305,0.11246337741613388,0.41862958669662476,0.0,0.0,-1.5664849281311035,-1.5441069602966309,0.2087777554988861,0.213502436876297,0.0003,20.586772918701172
160,64000,-0.0017936768032126604,61.95192607879639,0.2776568430662155,0.003090122016146779,0.011349999965168535,0.6292637586593628,0.20993950963020325,0.82972651720047,8.063227653503418,-50.130638122558594,37.347496032714844,19.506750106811523,13.242694854736328,0.5421155259835728,12.823002222006746,0.09238843619823456,0.567935585975647,0.0,0.0,-1.5741312503814697,-1.5479122400283813,0.2071874588727951,0.2126915454864502,0.0003,35.33826446533203
170,68000,-0.0021205114026015526,92.13868000030517,0.2854074388742447,0.0035169075708836317,0.019299999987706543,0.5882140398025513,0.20981286466121674,0.9072632789611816,9.637889862060547,-57.913909912109375,93.70392608642578,19.798828125,15.01917839050293,0.5819984312208496,14.47524800126881,0.07639188319444656,0.5421831607818604,0.0,0.0,-1.5780444145202637,-1.545302152633667,0.2063782811164856,0.2132474184036255,0.0003,36.04994583129883
180,72000,-0.0006162785758051536,58.94078227996826,0.28683298707008364,0.002737639006227255,0.006049999934621155,0.7255252003669739,0.20929114520549774,-0.15547886490821838,7.946225166320801,-49.728363037109375,45.48185729980469,18.9433536529541,15.16734790802002,0.5453421845746181,15.030587174832146,0.0578761026263237,0.7579131126403809,0.0,0.0,-1.5844640731811523,-1.5440031290054321,0.20505765080451965,0.21352462470531464,0.0003,29.746679306030273
190,76000,-0.0005218059793485752,43.26193592071533,0.28842707455158234,0.0019498176407068968,0.004274999997578561,0.7765343189239502,0.20988598465919495,-0.35184934735298157,6.961659908294678,-43.34150314331055,23.693126678466797,18.741180419921875,14.726764678955078,0.5280080564585602,12.859490763427534,0.062153276056051254,0.9403654932975769,0.0,0.0,-1.5828347206115723,-1.5400055646896362,0.2053920477628708,0.2143799215555191,0.0003,22.903705596923828
200,80000,-0.0008453591648458314,80.92385814666748,0.2839843586087227,0.00410201633349061,0.014524999903514982,0.6076853275299072,0.21012598276138306,0.023172913119196892,9.319781303405762,-45.62140655517578,54.90034484863281,17.841445922851562,14.87950325012207,0.5723054890330868,15.83392164040438,0.051962755620479584,1.1012227535247803,0.0,0.0,-1.5821555852890015,-1.5384186506271362,0.20553156733512878,0.21472036838531494,0.0003,40.65361404418945
210,84000,-0.0020967780782590118,93.23271251678467,0.2824207437038422,0.0021150766406208277,0.0072999999905005095,0.5534743666648865,0.2100275456905365,1.7571367025375366,9.958420753479004,-50.552650451660156,88.14646911621094,20.15061378479004,14.902779579162598,0.5498689333933524,19.450109678880658,0.07121121138334274,0.976620078086853,0.0,0.0,-1.5834887027740479,-1.5380604267120361,0.20525774359703064,0.21479730308055878,0.0003,51.36747741699219
220,88000,-0.001876933512270984,62.15708530426026,0.28620178043842315,0.0026515666395425797,0.010049999980255962,0.6834229230880737,0.20932188630104065,1.449924349784851,7.970041751861572,-33.642234802246094,44.50616455078125,19.489757537841797,14.165140151977539,0.5720905539634595,12.63377981893423,0.08468513190746307,1.077006220817566,0.0,0.0,-1.5855973958969116,-1.5426284074783325,0.20482538640499115,0.21381835639476776,0.0003,24.292070388793945
230,92000,-0.0024204539835262027,34.43940147399903,0.2958205854892731,0.004954115021973848,0.03022499998565763,0.787866473197937,0.20812654495239258,-0.05656389519572258,6.013639450073242,-33.59522247314453,30.44731903076172,19.98257064819336,13.056680679321289,0.5775715654275922,8.088952751126106,0.09454935044050217,0.6635250449180603,0.0,0.0,-1.594225287437439,-1.5455842018127441,0.20306579768657684,0.2131872922182083,0.0003,16.399505615234375
240,96000,-0.0020886898480886895,106.19566688537597,0.309640488922596,0.0036650709807872772,0.023525000060908498,0.5270217657089233,0.20627982914447784,0.4604063630104065,10.375588417053223,-33.70504379272461,111.81610107421875,20.706331253051758,15.086627960205078,0.5658752780085777,11.736231799784871,0.11940737068653107,0.8891643285751343,0.0,0.0,-1.6035171747207642,-1.5541356801986694,0.20118767023086548,0.2113719880580902,0.0003,46.72843551635742
250,100000,-0.0019684065865159892,70.94846851348876,0.3227163130044937,0.003156812861561775,0.016100000026635825,0.5800039172172546,0.20548582077026367,0.09881127625703812,8.646259307861328,-43.672645568847656,43.92774963378906,18.618398666381836,13.341529846191406,0.6412183425670237,9.940816979539727,0.09775286912918091,1.191992163658142,0.000125,0.00025,-1.6105320453643799,-1.5549955368041992,0.19978128373622894,0.211190328001976,0.0003,36.20077133178711
260,104000,-0.0016228946129907861,72.26218173980713,0.33102647185325623,0.003320148913189769,0.020624999855645,0.6190170645713806,0.20506015419960022,0.46519044041633606,8.581393241882324,-54.32622528076172,75.04962158203125,19.005422592163086,13.902887344360352,0.6687372881120739,8.2360287534681,0.07953206449747086,0.9964399933815002,0.0,0.0,-1.6196420192718506,-1.5504581928253174,0.19796954095363617,0.21215073764324188,0.0003,38.011478424072266
270,108000,-0.0019380147134750558,133.6220302581787,0.3327703094482422,0.004278129898011684,0.037599999941885474,0.43472546339035034,0.20486432313919067,-2.2397961616516113,11.768329620361328,-57.77723693847656,67.85096740722656,16.124727249145508,15.65255069732666,0.6610976484589398,20.655052654201963,0.0698634460568428,0.7439988851547241,0.00025,0.0005,-1.6213496923446655,-1.5507121086120605,0.19763177633285522,0.21209688484668732,0.0003,77.6900405883789
280,112000,-0.0016398693159897437,46.48077682495117,0.339001182615757,0.001925567165017128,0.026375000118277966,0.7386274337768555,0.20370686054229736,-0.3659968972206116,6.850208282470703,-46.295631408691406,28.725130081176758,17.894878387451172,13.399044036865234,0.6362096059030891,8.506334548320062,0.06593170017004013,0.5586240887641907,0.0,0.0,-1.6253474950790405,-1.5579349994659424,0.19684326648712158,0.21057046949863434,0.0003,22.866628646850586
290,116000,-0.000462897668138611,49.846762313842774,0.3438783857226372,0.0021706861443817616,0.006174999973736704,0.7109420299530029,0.20426666736602783,-0.47216716408729553,7.399994373321533,-31.7587890625,44.685203552246094,17.273935317993164,13.76381778717041,0.5836931568197867,12.434591978515984,0.06758211553096771,1.0352647304534912,0.0,0.0,-1.628013253211975,-1.5501594543457031,0.19631920754909515,0.2122141271829605,0.0003,21.389324188232422
300,120000,-0.00237069717411432,133.4669825744629,0.3397257876396179,0.0026125446893274784,0.016200000029057263,0.4433809518814087,0.20415076613426208,1.1373517513275146,11.984417915344238,-68.46037292480469,62.02404022216797,17.004161834716797,16.06341552734375,0.6588521063443125,19.644821081218936,0.06666520982980728,1.4128148555755615,0.0,0.0,-1.6220494508743286,-1.556807518005371,0.1974935382604599,0.21080799400806427,0.0003,55.90378952026367
310,124000,-0.0018277341646755296,169.1375262451172,0.34071842789649964,0.002783177886158228,0.015974999964237215,0.39432841539382935,0.20418696105480194,-0.371564120054245,13.172452926635742,-82.40702819824219,60.482940673828125,18.19331169128418,16.92575454711914,0.5901525645429138,15.05444494662958,0.08369266986846924,1.3020659685134888,0.0,0.0,-1.621744990348816,-1.5567493438720703,0.19755367934703827,0.210820272564888,0.0003,79.07819366455078
320,128000,-0.00036273163343012447,25.15061336517334,0.3386416634917259,0.0027068057097494602,0.014174999995157122,0.7856181263923645,0.2046680450439453,-0.6216346025466919,5.0389404296875,-30.638736724853516,21.631528854370117,17.057363510131836,10.882912635803223,0.5970060109184858,5.50768477315183,0.10599412769079208,0.6229615211486816,0.0,0.0,-1.6220680475234985,-1.5518946647644043,0.19748985767364502,0.2118462175130844,0.0003,14.060431480407715
330,132000,-0.003017620205633467,121.03370140075684,0.3401293867826462,0.00533320102840662,0.026624999912455677,0.4453463554382324,0.20352894067764282,-0.6027660965919495,11.010900497436523,-57.355430603027344,46.523258209228516,17.803617477416992,14.78467845916748,0.5986457320933668,12.15683179544678,0.09455857425928116,0.4204149544239044,0.0,0.0,-1.6315373182296753,-1.5538647174835205,0.19562861323356628,0.21142926812171936,0.0003,58.844932556152344
340,136000,-0.0027888563044689363,94.8163758468628,0.34996333479881286,0.004081886727362871,0.03187500013038516,0.5405257344245911,0.20312990248203278,-0.3700582981109619,9.82149887084961,-70.89110565185547,53.39799118041992,16.283384323120117,14.489293098449707,0.6124986758303055,12.78032305876658,0.08869718015193939,0.7342546582221985,0.0,0.0,-1.638161063194275,-1.551533579826355,0.19433708488941193,0.21192272007465363,0.0003,58.3121337890625
350,140000,-0.0019441990895240435,148.31981330871582,0.3547673603892326,0.0023092387709766626,0.012699999953620136,0.4017038941383362,0.2025136947631836,0.5592431426048279,12.241168022155762,-78.52732849121094,127.97184753417969,17.06895637512207,15.825766563415527,0.6312151198898162,11.83791555160245,0.07052043825387955,1.0383185148239136,0.0,0.0,-1.6406515836715698,-1.5550743341445923,0.1938536912202835,0.21117369830608368,0.0003,85.84281158447266
360,144000,-0.0012153524425530104,55.510270652771,0.36370850205421446,0.0026934128254652023,0.015474999994039536,0.6753548383712769,0.2011069655418396,0.04967482015490532,7.504515171051025,-41.43384552001953,39.212432861328125,17.608219146728516,13.17098331451416,0.5524033266213604,9.310564983586513,0.08107186108827591,0.5861862897872925,0.0,0.0,-1.6497248411178589,-1.5601184368133545,0.19210274517536163,0.21011118590831757,0.0003,29.401012420654297
370,148000,-0.003950977828731083,45.019635372161865,0.3796146604418755,0.0057917204685509205,0.04567499997094274,0.6773614883422852,0.19939780235290527,1.6098188161849976,6.833178520202637,-27.969282150268555,43.6295280456543,18.449966430664062,12.029973983764648,0.5617428264140348,11.257773801009487,0.12540706992149353,0.8613185286521912,0.0,0.0,-1.6682204008102417,-1.5596328973770142,0.18858236074447632,0.21021324396133423,0.0003,23.950252532958984
380,152000,-0.0010166318942254281,84.4173044204712,0.39827065765857694,0.0033306144177913666,0.017250000066123903,0.5755857229232788,0.19741691648960114,0.7099055051803589,9.389636993408203,-114.23171997070312,47.87853240966797,18.961772918701172,14.412981033325195,0.6783557200796566,10.552430657491502,0.11560362577438354,1.1748507022857666,0.0,0.0,-1.6755667924880981,-1.5719890594482422,0.18720203638076782,0.20763176679611206,0.0003,31.10776138305664
390,156000,-0.0019525840650586356,56.4567219543457,0.4147377836704254,0.003965039737522602,0.019525000108405948,0.6818757653236389,0.19633658230304718,-1.0509952306747437,7.660640239715576,-40.4899787902832,31.554309844970703,18.35527801513672,13.582093238830566,0.6114937326351424,11.99676833682001,0.09185782819986343,0.6958651542663574,0.0,0.0,-1.6826335191726685,-1.576054573059082,0.1858838051557541,0.20678935945034027,0.0003,24.4625186920166
400,160000,-0.0025582771956414964,34.7417230796814,0.42260773688554765,0.0028592925518751144,0.019074999927543104,0.7920629978179932,0.19588035345077515,-0.12181288748979568,5.94244384765625,-38.26279067993164,39.586483001708984,17.928531646728516,13.031643867492676,0.5512222970358908,6.880931335281998,0.13071031868457794,0.5671809315681458,0.0,0.0,-1.674526333808899,-1.5878536701202393,0.18739692866802216,0.20436377823352814,0.0003,19.16170883178711
