policy,environment_type,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,recurrent_state_reset_verified
analytical_belief_weighted,fixed,225039.0,36.36033479345548,36.29028979345548,71.92523617513234,12.275546690134135,0.045044999999998864,0.025,1.5895,6.0,-1.122,-5.0,5.0,85.0,-0.3983801389005233,-0.38799622985940685,0.1453311798479395,0.15012962441160033,1.862981121199125,4000,3.325340003357269e-12,
analytical_belief_weighted,fixed,225040.0,42.01252867183035,41.97371117183035,59.09952672937485,26.27653651383832,0.03881750000000176,0.0,1.50475,5.0,1.23175,0.0,0.0,58.0,-0.2885578678548384,-0.30394707965713347,0.11464347664766665,0.10835269319164524,2.1605847508812035,4000,1.2079226507921703e-13,
analytical_belief_weighted,fixed,225041.0,68.82490698197648,68.38869948197649,60.97689775991308,10.389972534828667,0.38720749999999327,0.049,5.31175,10.0,5.27175,7.0,7.0,75.0,-0.3764034201872611,-0.4257877123872047,0.15029808036171657,0.14830819223567118,1.8387045615934108,4000,1.9895196601282805e-12,
analytical_belief_weighted,fixed,225042.0,24.55730644247302,24.465401442473024,55.01677181799878,15.891765931906683,0.07590499999999754,0.016,2.126,7.0,1.371,4.0,4.0,54.0,-0.2853093537847913,-0.294313081735426,0.1007127053051285,0.10912145867794937,2.1803601375962245,4000,6.998845947236987e-13,
analytical_belief_weighted,fixed,225043.0,27.303839630227685,27.284774630227684,53.846052926392254,17.097821763014014,0.019065000000000207,0.0,1.134,3.0,-0.651,0.0,0.0,56.0,-0.32831123026806214,-0.31768209042281936,0.12818298798511268,0.12977849315548823,2.078477063727697,4000,1.8118839761882555e-13,
analytical_belief_weighted,fixed,225044.0,-43.832722260742116,-44.44462476074211,58.439641262626154,10.48064178756265,0.5629024999999904,0.049,6.65575,11.0,6.46375,7.0,7.0,69.0,-0.366313141541619,-0.42877605097539445,0.15574862946234524,0.14497247884493236,1.849606442465162,4000,1.6910917111090384e-12,
analytical_belief_weighted,fixed,225045.0,8.819546469144939,8.685403969144941,57.63532025620762,23.31723956101106,0.12514249999999758,0.009000000000000001,2.88975,8.0,2.88575,3.0,3.0,53.0,-0.2566819069864491,-0.28720653245272515,0.07367985471752006,0.07688527816392181,2.235213848722436,4000,2.611244553918368e-13,
analytical_belief_weighted,fixed,225046.0,101.06250095569635,100.75409845569635,60.60645378959612,19.66476950311233,0.2274024999999948,0.081,3.55225,10.0,3.46325,9.0,9.0,57.0,-0.27463616969569415,-0.3033370833154366,0.09960092032247052,0.10145731538018057,2.1828917263035903,4000,6.394884621840902e-13,
analytical_belief_weighted,fixed,225047.0,56.07665787532767,56.00828287532767,60.86754050338275,13.37362266403645,0.06437499999999902,0.004,1.8855,7.0,0.936,-2.0,2.0,68.0,-0.3544925119199511,-0.36088622473948717,0.1411856834129847,0.1456239908949916,1.9719665140741036,4000,8.526512829121202e-14,
analytical_belief_weighted,fixed,225048.0,74.24878603793843,74.11082853793843,52.46718760780407,8.984399285908518,0.08895749999999927,0.049,2.05125,7.0,-1.73675,-7.0,7.0,61.0,-0.38471340930946574,-0.3694720357784037,0.14140650789407158,0.15148514198358634,1.912396015183789,4000,2.1884716261411086e-12,
analytical_belief_weighted,fixed,225049.0,105.32348190746954,105.06860440746955,46.851177144909464,19.98903196085381,0.2548774999999971,0.0,3.89925,9.0,-3.54225,0.0,0.0,42.0,-0.2833710826962493,-0.24786780952986784,0.06865850148743809,0.07756388055198934,2.254631621286376,4000,2.9274360713316128e-12,
analytical_belief_weighted,fixed,225050.0,61.08337587034873,60.90554837034873,68.74707265225415,19.406890809362025,0.09682749999999955,0.081,2.64825,10.0,0.16325,9.0,9.0,65.0,-0.3001369353266487,-0.2925582463353726,0.11046199123114851,0.10662408786807537,2.1602927306691484,4000,1.4210854715202004e-13,
analytical_belief_weighted,event,225001.0,46.899632849334694,46.55594065503966,58.99733232938727,16.06434337423556,0.19969219429503426,0.14400000000000002,3.489130434782609,12.0,-2.8079710144927534,-12.0,12.0,70.0,-0.3990788910434853,-0.383146332767487,0.17194339824364352,0.15429715343903352,1.869353364184676,276,2.1316282072803006e-14,
analytical_belief_weighted,event,225002.0,95.97710301437945,95.81602051142315,59.746835873916964,15.3290205287309,0.1450825029563043,0.016,3.327205882352941,9.0,-3.2316176470588234,-4.0,4.0,64.0,-0.34954593642252574,-0.3085661203647787,0.142359181033687,0.15298943939783055,2.059874116339995,272,5.684341886080802e-14,
analytical_belief_weighted,event,225003.0,60.026191992381484,59.97698222412478,77.15322108198598,24.239221994522396,0.033209768256706663,0.016,1.3673469387755102,4.0,0.6462585034013606,4.0,4.0,72.0,-0.27452141740186065,-0.28110353268859967,0.10793183199932274,0.10809219588657565,2.2171976390761583,294,7.105427357601002e-15,
analytical_belief_weighted,event,225004.0,22.520803071546908,22.45170429449578,76.59177669722108,28.2488234643043,0.06809877705112752,0.001,2.270175438596491,6.0,0.48771929824561405,1.0,1.0,79.0,-0.31352663093271677,-0.32619011673037124,0.14578405086390145,0.13782340080668576,2.0881119593869557,285,3.197442310920451e-14,
analytical_belief_weighted,event,225005.0,40.74676137904589,40.53971186399145,60.929793881604624,17.327397209117184,0.14304951505444066,0.064,3.1013513513513513,8.0,2.972972972972973,8.0,8.0,68.0,-0.370450022457517,-0.39770125723687894,0.16615591899657176,0.15718222291111128,1.89095766679965,296,5.684341886080802e-14,
analytical_belief_weighted,event,225006.0,31.849939665787247,31.62467586514694,62.52052569812069,16.960856903298804,0.16126380064030618,0.064,3.52233676975945,9.0,-3.4879725085910653,-8.0,8.0,68.0,-0.3634995521389972,-0.32914941046352647,0.1554591700550961,0.15165045451971967,2.006858006681152,291,0.0,
analytical_belief_weighted,event,225007.0,29.084674813435186,28.984641245705987,48.29841150862097,7.498351997226607,0.07503356772919943,0.025,2.485074626865672,6.0,-2.455223880597015,-5.0,5.0,55.0,-0.3434236296743136,-0.31964690248246147,0.1498609534813127,0.14487770431970243,2.0522625753601798,268,7.105427357601002e-15,
analytical_belief_weighted,event,225008.0,67.47541534720574,67.31714382656384,53.91779424023213,21.547955582363713,0.1332715206418956,0.025,2.992957746478873,7.0,2.492957746478873,5.0,5.0,53.0,-0.29025725849560596,-0.3124221182638602,0.13209132658695769,0.12553428220151056,2.1449664248045357,284,4.263256414560601e-14,
analytical_belief_weighted,event,225009.0,33.39361559513486,33.24307305708807,58.78857026079445,21.964027770008943,0.12554253804679658,0.025,3.4244604316546763,6.0,-2.6115107913669067,-5.0,5.0,59.0,-0.3220520051859133,-0.30047066450574117,0.13219138475673906,0.14058392372694525,2.1145058444701537,278,2.842170943040401e-14,
analytical_belief_weighted,event,225010.0,104.46166462124592,104.19977430591331,56.44513879640272,14.847173687610688,0.2368903153325981,0.025,3.91796875,8.0,1.44921875,5.0,5.0,61.0,-0.32624535849243796,-0.32805918481922725,0.14157868782716676,0.15280799989481386,2.0657188655202487,256,1.4210854715202004e-14,
analytical_belief_weighted,event,225011.0,-24.194243993860027,-24.440033666626334,67.7300188314418,23.765023897514244,0.19678967276630624,0.049,3.783050847457627,8.0,3.76271186440678,7.0,7.0,63.0,-0.255390713573123,-0.2959909843055436,0.1065961919097839,0.10419631792143531,2.2237112719352847,295,1.4210854715202004e-14,
analytical_belief_weighted,event,225012.0,40.1823087982923,40.15273562434834,56.763273911317754,21.690760123917137,0.02557317394396103,0.004,1.3106060606060606,4.0,-0.09848484848484848,2.0,2.0,60.0,-0.31871447528888985,-0.31844340546471744,0.14057948785928923,0.14112468629686944,2.092039965254105,264,7.105427357601002e-15,
