q,tau,belief,policy,bid_depth,ask_depth,bid_action,ask_action
-22.0,0.0,0.0,event_seed4,0.685461666728286,1.0749534389874273,-0.5534616708755493,-0.29973047971725464
-20.0,0.0,0.0,analytical,0.6275721840978775,0.7077659943046718,-0.5911732951754801,-0.538931701292069
-20.0,0.0,0.0,fixed_seed0,1.548272175913992,1.4571118287920055,0.008609093725681305,-0.050776559859514236
-20.0,0.0,0.0,fixed_seed1,0.9287262312260988,1.935413482864425,-0.3949889838695526,0.2608090937137604
-20.0,0.0,0.0,fixed_seed2,1.0498143608498296,2.1649590147513416,-0.3161071240901947,0.4103446304798126
-20.0,0.0,0.0,fixed_seed3,1.6060182316705487,1.3265966592373144,0.04622728377580643,-0.1357995867729187
-20.0,0.0,0.0,fixed_seed4,1.4520754948393098,1.438823180212605,-0.05405743792653084,-0.06269054859876633
-20.0,0.0,0.0,event_seed0,1.7645677663649584,0.9196631358233243,0.14951306581497192,-0.40089306235313416
-20.0,0.0,0.0,event_seed1,1.077402754839231,1.552627752950556,-0.2981348931789398,0.011446498334407806
-20.0,0.0,0.0,event_seed2,1.3688270454554827,1.580082230359013,-0.1082889512181282,0.029331490397453308
-20.0,0.0,0.0,event_seed3,1.6222203823755392,1.704769260873156,0.05678204074501991,0.11055782437324524
-20.0,0.0,0.0,event_seed4,0.6929410490217804,1.0782340463901217,-0.548589289188385,-0.2975933551788329
-18.0,0.0,0.0,analytical,0.6315818743165663,0.7037563041390222,-0.5885612156713032,-0.5415437807616941
-18.0,0.0,0.0,fixed_seed0,1.5485739571407362,1.4583335759851506,0.008805686607956886,-0.049980662763118744
-18.0,0.0,0.0,fixed_seed1,0.9364729205765441,1.930110345085589,-0.389942467212677,0.25735440850257874
-18.0,0.0,0.0,fixed_seed2,1.0558365239605318,2.1569266732934853,-0.31218403577804565,0.40511202812194824
-18.0,0.0,0.0,fixed_seed3,1.6022036849407215,1.3338015977459983,0.04374232888221741,-0.13110598921775818
-18.0,0.0,0.0,fixed_seed4,1.4538162388356313,1.4411127202820366,-0.05292344465851795,-0.06119904667139053
-18.0,0.0,0.0,event_seed0,1.7613294760986118,0.9274361304206884,0.1474035084247589,-0.3958294093608856
-18.0,0.0,0.0,event_seed1,1.0835482094985356,1.552337072823938,-0.29413148760795593,0.011257137171924114
-18.0,0.0,0.0,event_seed2,1.3713700079863176,1.5793523455349947,-0.10663235932588577,0.02885601297020912
-18.0,0.0,0.0,event_seed3,1.6210429480863886,1.702021609210101,0.0560150109231472,0.10876788944005966
-18.0,0.0,0.0,event_seed4,0.7040372883959751,1.0830976349300077,-0.5413607358932495,-0.29442501068115234
-16.0,0.0,0.0,analytical,0.6355915646329529,0.6997466138700872,-0.5859491361034819,-0.5441558602986034
-16.0,0.0,0.0,fixed_seed0,1.549016311319602,1.460131019225646,0.009093854576349258,-0.048809733241796494
-16.0,0.0,0.0,fixed_seed1,0.9479264995745352,1.9222686823567028,-0.3824811279773712,0.25224602222442627
-16.0,0.0,0.0,fixed_seed2,1.0647166263412624,2.1450733002905835,-0.3063991665840149,0.3973902463912964
-16.0,0.0,0.0,fixed_seed3,1.5966016280603768,1.3443923989562436,0.040092915296554565,-0.12420669943094242
-16.0,0.0,0.0,fixed_seed4,1.4563793134432952,1.4444845725803475,-0.051253750920295715,-0.059002481400966755
-16.0,0.0,0.0,event_seed0,1.7565454437750592,0.9388935065238869,0.14428699016571045,-0.38836559653282166
-16.0,0.0,0.0,event_seed1,1.092613180579786,1.5519080914320114,-0.2882261872291565,0.010977680794894695
-16.0,0.0,0.0,event_seed2,1.375113805038997,1.5782837863754282,-0.10419349372386921,0.028159908950328827
-16.0,0.0,0.0,event_seed3,1.61930678463415,1.6979722595588636,0.05488400161266327,0.1061299741268158
-16.0,0.0,0.0,event_seed4,0.7204514879837912,1.0902850061085754,-0.5306678414344788,-0.2897428572177887
-14.0,0.0,0.0,analytical,0.6396012550358624,0.6957369235090427,-0.5833370564792957,-0.546767939895517
-14.0,0.0,0.0,fixed_seed0,1.5496592072653992,1.4627572664556385,0.009512663818895817,-0.047098886221647374
-14.0,0.0,0.0,fixed_seed1,0.964780248401301,1.9107270608409808,-0.3715018928050995,0.24472732841968536
-14.0,0.0,0.0,fixed_seed2,1.0777335147265756,2.127678761335422,-0.2979194223880768,0.3860587179660797
-14.0,0.0,0.0,fixed_seed3,1.5884380234203956,1.359845839430073,0.03477480262517929,-0.11413968354463577
-14.0,0.0,0.0,fixed_seed4,1.4601284801974652,1.4494181788252933,-0.04881138727068901,-0.05578852444887161
-14.0,0.0,0.0,event_seed0,1.7495139826512731,0.955679319191219,0.13970640301704407,-0.37743061780929565
-14.0,0.0,0.0,event_seed1,1.1059078066243067,1.5512785268137967,-0.2795655131340027,0.010567556135356426
-14.0,0.0,0.0,event_seed2,1.3805890134438736,1.5767334694926711,-0.10062671452760696,0.027149967849254608
-14.0,0.0,0.0,event_seed3,1.6167619464248393,1.692041329906714,0.05322618782520294,0.10226631909608841
-14.0,0.0,0.0,event_seed4,0.7446225787830316,1.1008547745583495,-0.5149217844009399,-0.2828572690486908
-12.0,0.0,0.0,analytical,0.6436109455141242,0.691727233067061,-0.5807249768060221,-0.5493800195451563
-12.0,0.0,0.0,fixed_seed0,1.5505819095493327,1.466555126509268,0.010113750584423542,-0.044624801725149266
-12.0,0.0,0.0,fixed_seed1,0.9893958749993419,1.8938632702721303,-0.35546624660491943,0.23374155163764954
-12.0,0.0,0.0,fixed_seed2,1.0966431444077507,2.102372107337888,-0.2856009006500244,0.36957290768623374
-12.0,0.0,0.0,fixed_seed3,1.576678665941835,1.3821468902258538,0.0271142665296793,-0.09961184859275818
-12.0,0.0,0.0,fixed_seed4,1.465558489325897,1.4565660578222912,-0.04527405276894558,-0.05113209784030914
-12.0,0.0,0.0,event_seed0,1.7392607463813796,0.9800461210275354,0.13302701711654663,-0.3615570664405823
-12.0,0.0,0.0,event_seed1,1.1252338369271428,1.5503624408713166,-0.2669757306575775,0.009970779530704021
-12.0,0.0,0.0,event_seed2,1.3885164999000983,1.5745137841501389,-0.09546241909265529,0.025703972205519676
-12.0,0.0,0.0,event_seed3,1.6130654416312944,1.6834357170590495,0.05081813037395477,0.09666026383638382
-12.0,0.0,0.0,event_seed4,0.7799639296338834,1.1162826875056038,-0.49189895391464233,-0.27280688285827637
-10.0,0.0,0.0,analytical,0.6476206360565704,0.6877175425553108,-0.5781128970909359,-0.5519920992402456
-10.0,0.0,0.0,fixed_seed0,1.5518820878376525,1.4719630163561603,0.010960740968585014,-0.04110187664628029
